n_sequences	n_fasta_files
1	4349
2	1566
3	786
4	417
5	263
6	187
7	124
8	97
9	82
10	66
11	65
12	47
13	35
14	46
15	40
16	36
17	26
18	20
19	20
20	15
21	11
22	15
23	10
24	11
25	12
26	5
27	7
28	7
29	13
30	12
31	6
32	3
33	8
34	7
35	4
36	5
37	8
38	6
39	3
40	6
41	2
42	5
43	2
44	4
45	4
46	5
47	3
48	4
49	3
50	2
51	2
52	1
53	2
54	2
55	1
56	1
57	2
59	2
60	2
62	1
63	1
64	1
65	1
66	2
68	1
69	3
70	2
71	2
72	1
74	3
79	2
80	1
81	1
83	1
84	1
85	1
89	2
91	1
94	1
95	1
97	2
98	1
100	1
102	1
103	2
104	1
107	1
109	1
110	1
114	1
117	1
123	1
125	1
128	1
131	1
132	1
133	2
135	1
136	1
138	1
142	1
150	1
155	1
159	1
169	1
174	1
176	1
193	1
208	1
220	1
232	1
245	1
251	1
254	1
258	1
274	1
285	1
288	1
293	1
322	1
325	1
365	2
370	1
430	1
437	1
449	1
568	1
610	1
695	1
710	1
5522	1
