Pfam_code,mean_%conservation,blosum62_global_mean,perc_gaps
PF00001,0.12,0.67,0.62
PF00002,0.23,1.05,0.43
PF00003,0.35,0.94,0.2
PF00004,0.26,1.37,0.45
PF00005,0.26,1.19,0.39
PF00006,0.54,1.43,0.08
PF00007,0.41,1.65,0.26
PF00008,0.22,2.58,0.58
PF00009,0.22,1.2,0.54
PF00010,0.32,1.4,0.31
PF00011,0.4,1.75,0.28
PF00012,0.41,2.37,0.37
PF00013,0.29,1.17,0.29
PF00014,0.45,2.31,0.16
PF00017,0.23,1.3,0.47
PF00018,0.24,1.65,0.45
PF00019,0.41,2.03,0.2
PF00020,0.3,1.43,0.26
PF00021,0.24,0.57,0.34
PF00022,0.34,2.28,0.46
PF00023,0.34,1.61,0.33
PF00024,0.33,0.99,0.24
PF00025,0.38,1.84,0.28
PF00026,0.52,2.25,0.15
PF00027,0.28,1.12,0.34
PF00028,0.18,1.02,0.55
PF00029,0.39,2.31,0.31
PF00030,0.36,1.67,0.25
PF00031,0.33,1.03,0.24
PF00032,,,0.0
PF00033,,,0.0
PF00034,,,0.0
PF00035,0.31,1.16,0.34
PF00036,0.45,2.09,0.19
PF00037,,,0.0
PF00038,0.4,1.78,0.23
PF00039,0.49,2.34,0.08
PF00040,0.57,2.85,0.02
PF00041,0.14,0.76,0.61
PF00042,0.54,2.02,0.09
PF00043,0.32,0.72,0.26
PF00044,0.77,3.25,0.03
PF00045,0.29,1.17,0.32
PF00046,0.34,1.8,0.34
PF00047,0.25,0.83,0.39
PF00048,0.34,1.59,0.25
PF00049,0.27,1.12,0.47
PF00050,0.35,2.18,0.35
PF00051,0.49,2.84,0.22
PF00052,0.38,1.14,0.18
PF00053,0.19,2.1,0.57
PF00054,0.31,0.89,0.25
PF00055,0.37,1.57,0.25
PF00056,0.6,2.17,0.09
PF00057,0.33,2.66,0.4
PF00058,0.31,1.65,0.34
PF00059,0.19,1.04,0.48
PF00060,0.43,1.28,0.09
PF00061,0.26,0.39,0.29
PF00062,0.57,2.67,0.09
PF00063,0.38,1.99,0.31
PF00066,0.48,2.59,0.14
PF00067,0.27,0.82,0.31
PF00068,0.46,2.13,0.15
PF00069,0.13,1.08,0.65
PF00071,0.24,1.46,0.49
PF00074,0.36,1.21,0.21
PF00075,0.78,4.09,0.16
PF00076,0.19,1.09,0.53
PF00077,0.99,5.23,0.0
PF00078,0.61,4.26,0.33
PF00079,0.35,1.44,0.24
PF00080,0.64,2.36,0.06
PF00081,,,0.0
PF00082,0.31,1.68,0.49
PF00083,0.21,0.82,0.49
PF00084,0.16,1.45,0.59
PF00085,0.27,1.26,0.36
PF00086,0.29,2.11,0.42
PF00087,0.64,1.45,0.05
PF00088,0.42,2.26,0.22
PF00089,0.26,1.64,0.43
PF00090,0.25,2.15,0.5
PF00091,0.57,3.03,0.15
PF00092,0.22,0.91,0.43
PF00093,0.3,2.1,0.36
PF00094,0.28,0.97,0.28
PF00095,0.33,2.31,0.33
PF00096,0.38,2.75,0.35
PF00097,0.35,2.11,0.31
PF00098,0.55,3.73,0.17
PF00100,0.31,1.07,0.27
PF00102,0.38,1.96,0.28
PF00103,0.75,3.25,0.07
PF00104,0.28,0.92,0.31
PF00105,0.57,3.4,0.13
PF00106,0.21,0.91,0.49
PF00107,0.37,1.23,0.26
PF00108,0.48,1.19,0.11
PF00109,0.6,0.67,0.05
PF00110,0.45,2.52,0.22
PF00111,0.45,0.97,0.16
PF00112,0.38,1.87,0.27
PF00113,0.7,2.79,0.08
PF00115,,,0.0
PF00116,,,0.0
PF00117,0.44,1.02,0.19
PF00118,0.29,1.02,0.35
PF00119,,,0.0
PF00120,0.55,0.21,0.24
PF00121,,,0.0
PF00122,0.21,1.52,0.58
PF00123,0.51,1.92,0.07
PF00125,0.47,1.76,0.13
PF00128,0.28,3.17,0.65
PF00129,0.48,1.69,0.11
PF00130,0.34,1.87,0.24
PF00131,0.76,5.29,0.15
PF00133,0.24,0.56,0.49
PF00134,0.25,0.86,0.37
PF00135,0.45,2.02,0.22
PF00136,0.54,1.35,0.12
PF00137,0.58,1.81,0.04
PF00143,0.71,3.21,0.1
PF00144,0.57,0.57,0.18
PF00145,0.35,1.03,0.45
PF00146,,,0.0
PF00147,0.42,2.32,0.26
PF00149,0.17,0.58,0.57
PF00151,0.49,2.11,0.17
PF00152,0.33,0.9,0.37
PF00153,0.22,0.81,0.39
PF00155,0.26,0.31,0.29
PF00156,0.38,0.97,0.31
PF00157,0.68,3.28,0.11
PF00159,0.73,3.14,0.02
PF00160,0.54,2.7,0.19
PF00162,0.94,4.64,0.0
PF00163,0.59,0.89,0.18
PF00164,0.64,2.01,0.15
PF00166,,,0.0
PF00167,0.42,1.94,0.22
PF00168,0.12,0.8,0.68
PF00169,0.13,0.6,0.58
PF00170,0.41,1.6,0.15
PF00171,0.41,1.45,0.19
PF00173,0.33,1.31,0.31
PF00174,,,0.0
PF00175,0.37,1.08,0.2
PF00176,0.17,1.57,0.65
PF00177,0.59,0.85,0.1
PF00178,0.58,2.8,0.08
PF00179,0.27,1.66,0.46
PF00180,0.47,1.33,0.16
PF00181,0.61,1.05,0.12
PF00183,0.31,2.84,0.57
PF00184,0.91,5.08,0.0
PF00185,0.61,0.87,0.05
PF00186,0.89,4.93,0.09
PF00188,0.42,1.69,0.15
PF00189,,,0.0
PF00191,0.45,1.53,0.08
PF00193,0.45,2.1,0.2
PF00194,0.44,1.85,0.16
PF00198,0.55,1.46,0.04
PF00199,,,0.0
PF00200,0.5,3.08,0.19
PF00201,0.57,2.65,0.1
PF00202,0.47,1.39,0.17
PF00203,,,0.0
PF00204,0.89,4.37,0.02
PF00205,0.63,1.17,0.08
PF00206,0.44,0.24,0.2
PF00207,0.49,2.08,0.11
PF00208,0.99,5.2,0.0
PF00209,0.46,2.4,0.19
PF00210,0.75,3.36,0.04
PF00211,0.37,1.84,0.28
PF00212,0.63,2.72,0.11
PF00213,,,0.0
PF00214,0.51,1.98,0.29
PF00215,,,0.0
PF00217,0.83,4.1,0.01
PF00219,0.4,2.67,0.33
PF00220,0.89,5.22,0.0
PF00221,,,0.0
PF00224,0.87,3.87,0.0
PF00225,0.28,1.77,0.46
PF00226,0.43,2.4,0.3
PF00227,0.34,0.79,0.16
PF00229,0.3,0.79,0.26
PF00230,0.4,1.35,0.21
PF00231,,,0.0
PF00232,0.38,2.2,0.36
PF00233,0.4,1.83,0.23
PF00235,0.56,1.61,0.08
PF00236,,,0.0
PF00237,0.58,0.5,0.13
PF00238,0.57,0.51,0.11
PF00240,0.36,1.42,0.32
PF00241,0.29,0.78,0.33
PF00243,0.67,3.26,0.09
PF00244,0.82,3.8,0.01
PF00245,0.86,4.02,0.01
PF00246,0.25,1.35,0.46
PF00248,0.4,1.66,0.26
PF00249,0.31,1.38,0.28
PF00250,0.53,2.98,0.2
PF00252,0.7,2.15,0.09
PF00253,0.61,0.84,0.09
PF00254,0.45,1.89,0.19
PF00255,0.62,-inf,0.03
PF00258,0.41,1.61,0.25
PF00260,,,0.0
PF00261,0.84,4.07,0.08
PF00262,0.4,2.6,0.42
PF00264,0.58,2.05,0.12
PF00265,,,0.0
PF00266,0.41,0.55,0.2
PF00268,0.92,4.65,0.01
PF00270,0.16,0.91,0.61
PF00271,0.16,0.86,0.56
PF00273,0.39,1.04,0.05
PF00274,0.85,3.88,0.0
PF00276,0.54,0.97,0.29
PF00277,0.79,3.63,0.05
PF00278,0.5,,0.5
PF00281,,,0.0
PF00282,0.4,1.75,0.29
PF00285,0.54,0.63,0.29
PF00287,0.54,2.09,0.1
PF00288,0.44,0.89,0.24
PF00289,0.6,2.22,0.06
PF00291,0.4,0.73,0.23
PF00292,0.8,3.91,0.03
PF00293,0.24,0.65,0.42
PF00294,0.46,0.25,0.09
PF00297,0.46,2.29,0.39
PF00298,0.62,0.97,0.04
PF00300,0.32,1.29,0.38
PF00303,,,0.0
PF00305,0.58,2.41,0.1
PF00306,,,0.0
PF00307,0.18,0.73,0.49
PF00312,0.58,0.44,0.1
PF00313,0.41,1.55,0.22
PF00316,0.89,4.06,0.0
PF00317,,,0.0
PF00318,0.3,0.65,0.52
PF00319,0.85,3.71,0.0
PF00320,0.55,2.82,0.12
PF00322,0.87,4.89,0.0
PF00323,0.66,2.85,0.01
PF00324,0.35,2.16,0.42
PF00326,0.4,1.03,0.17
PF00327,0.59,1.29,0.04
PF00328,0.32,0.62,0.33
PF00329,,,0.0
PF00330,0.41,1.21,0.4
PF00333,0.6,0.63,0.01
PF00334,0.46,1.5,0.12
PF00335,0.26,0.91,0.33
PF00337,0.43,1.55,0.13
PF00338,0.52,0.71,0.04
PF00339,0.41,1.03,0.17
PF00340,0.38,1.31,0.24
PF00341,0.43,1.76,0.16
PF00342,,,0.0
PF00343,0.9,4.45,0.0
PF00344,0.97,4.84,0.0
PF00346,,,0.0
PF00347,0.58,0.22,0.1
PF00348,0.42,0.5,0.16
PF00349,0.66,2.97,0.05
PF00350,0.3,1.09,0.38
PF00351,0.78,3.55,0.0
PF00352,0.55,1.86,0.07
PF00354,0.35,1.27,0.27
PF00355,0.58,2.35,0.26
PF00357,0.59,2.75,0.09
PF00361,0.49,0.58,0.07
PF00362,0.64,2.74,0.03
PF00363,,,0.0
PF00364,0.43,1.1,0.09
PF00365,0.59,2.45,0.07
PF00366,0.62,0.68,0.04
PF00368,,,0.0
PF00370,0.44,1.49,0.27
PF00373,0.17,0.85,0.59
PF00375,0.62,2.69,0.08
PF00377,0.59,0.89,0.04
PF00378,0.36,1.15,0.23
PF00380,0.66,1.35,0.05
PF00382,0.45,0.59,0.04
PF00383,0.29,0.68,0.43
PF00384,,,0.0
