Pfam_code,blosum62_global_mean
PF00001,0.7
PF00002,1.31
PF00003,1.01
PF00004,1.74
PF00005,1.22
PF00006,1.89
PF00007,1.65
PF00008,2.53
PF00009,1.69
PF00010,1.29
PF00011,2.18
PF00012,2.26
PF00013,1.14
PF00014,2.46
PF00017,1.23
PF00018,1.76
PF00019,2.06
PF00020,1.57
PF00021,1.08
PF00022,2.34
PF00023,1.49
PF00024,1.2
PF00025,1.9
PF00026,2.69
PF00027,1.11
PF00028,0.94
PF00029,2.62
PF00030,1.62
PF00031,0.92
PF00032,
PF00033,
PF00034,5.33
PF00035,1.22
PF00036,1.46
PF00037,4.3
PF00038,1.75
PF00039,2.45
PF00040,2.92
PF00041,0.71
PF00042,2.05
PF00043,0.97
PF00044,3.86
PF00045,1.2
PF00046,1.74
PF00047,1.7
PF00048,1.56
PF00049,1.29
PF00050,2.04
PF00051,3.04
PF00052,1.38
PF00053,1.97
PF00054,1.0
PF00055,2.38
PF00056,2.74
PF00057,2.6
PF00058,1.59
PF00059,1.08
PF00060,1.56
PF00061,0.4
PF00062,2.86
PF00063,1.99
PF00066,2.79
PF00067,0.86
PF00068,2.22
PF00069,1.1
PF00071,1.5
PF00074,1.22
PF00075,3.84
PF00076,1.11
PF00077,5.2
PF00078,3.88
PF00079,1.38
PF00080,3.2
PF00081,5.08
PF00082,2.15
PF00083,0.92
PF00084,1.42
PF00085,1.58
PF00086,2.05
PF00087,2.39
PF00088,2.65
PF00089,1.61
PF00090,2.11
PF00091,3.03
PF00092,0.85
PF00093,2.14
PF00094,0.95
PF00095,2.37
PF00096,2.75
PF00097,2.18
PF00098,3.15
PF00100,1.13
PF00102,2.08
PF00103,3.13
PF00104,0.96
PF00105,3.25
PF00106,0.9
PF00107,1.36
PF00108,1.86
PF00109,2.15
PF00110,2.53
PF00111,1.4
PF00112,2.12
PF00113,2.95
PF00115,
PF00116,
PF00117,1.92
PF00118,1.35
PF00119,
PF00120,2.32
PF00121,5.21
PF00122,0.99
PF00123,1.95
PF00125,1.49
PF00128,2.67
PF00129,3.12
PF00130,1.86
PF00131,4.81
PF00133,2.05
PF00134,0.91
PF00135,2.18
PF00136,2.14
PF00137,2.01
PF00143,3.3
PF00144,2.01
PF00145,2.99
PF00146,
PF00147,2.52
PF00149,1.01
PF00151,2.22
PF00152,2.14
PF00153,0.8
PF00155,0.57
PF00156,0.92
PF00157,3.39
PF00159,3.25
PF00160,2.61
PF00162,4.6
PF00163,3.6
PF00164,3.64
PF00166,4.48
PF00167,2.02
PF00168,0.67
PF00169,0.48
PF00170,1.63
PF00171,1.55
PF00173,1.58
PF00174,
PF00175,1.28
PF00176,2.02
PF00177,2.68
PF00178,2.91
PF00179,1.79
PF00180,2.25
PF00181,2.91
PF00183,3.04
PF00184,5.08
PF00185,2.74
PF00186,4.68
PF00188,1.95
PF00189,5.05
PF00191,1.65
PF00193,2.18
PF00194,2.01
PF00198,2.84
PF00199,5.03
PF00200,3.26
PF00201,2.56
PF00202,1.96
PF00203,5.16
PF00204,4.7
PF00205,2.94
PF00206,3.09
PF00207,2.53
PF00208,5.2
PF00209,2.66
PF00210,3.86
PF00211,1.99
PF00212,3.61
PF00213,4.57
PF00214,2.13
PF00215,4.47
PF00217,4.25
PF00219,2.75
PF00220,5.22
PF00221,5.01
PF00224,4.51
PF00225,1.87
PF00226,2.58
PF00227,1.08
PF00229,0.98
PF00230,1.62
PF00231,
PF00232,2.38
PF00233,1.98
PF00235,3.09
PF00236,5.14
PF00237,3.83
PF00238,3.38
PF00240,1.7
PF00241,1.13
PF00243,3.42
PF00244,3.93
PF00245,3.99
PF00246,1.29
PF00248,1.85
PF00249,1.87
PF00250,2.85
PF00252,3.44
PF00253,3.46
PF00254,1.69
PF00255,-inf
PF00258,1.95
PF00260,
PF00261,3.88
PF00262,4.02
PF00264,2.72
PF00265,4.92
PF00266,1.62
PF00268,4.87
PF00270,1.16
PF00271,0.98
PF00273,1.51
PF00274,4.29
PF00276,3.25
PF00277,4.21
PF00278,1.57
PF00281,5.02
PF00282,2.11
PF00285,4.9
