Pfam_code,mean_%conservation,blosum62_global_mean,perc_gaps
PF00001,0.1,0.68,0.69
PF00002,0.19,1.01,0.53
PF00003,0.31,0.95,0.28
PF00004,0.22,1.35,0.52
PF00005,0.26,1.19,0.39
PF00006,0.54,1.44,0.08
PF00007,0.4,1.55,0.27
PF00008,0.19,2.53,0.63
PF00009,0.19,1.12,0.61
PF00010,0.33,1.36,0.29
PF00011,0.4,1.58,0.23
PF00012,0.38,2.3,0.42
PF00013,0.23,1.1,0.44
PF00014,0.41,2.28,0.21
PF00017,0.19,1.26,0.54
PF00018,0.23,1.62,0.46
PF00019,0.4,2.03,0.22
PF00020,0.24,1.48,0.43
PF00021,0.25,0.83,0.36
PF00022,0.27,2.23,0.56
PF00023,0.2,1.63,0.6
PF00024,0.32,0.95,0.26
PF00025,0.37,1.77,0.28
PF00026,0.52,2.24,0.15
PF00027,0.28,1.04,0.33
PF00028,0.16,0.98,0.59
PF00029,0.35,2.29,0.37
PF00030,0.26,1.66,0.46
PF00031,0.3,0.98,0.32
PF00032,,,0.0
PF00033,,,0.0
PF00034,,,0.0
PF00035,0.3,1.06,0.33
PF00036,0.43,1.88,0.18
PF00037,,,0.0
PF00038,0.39,1.77,0.24
PF00039,0.43,2.34,0.18
PF00040,0.58,2.94,0.02
PF00041,0.15,0.66,0.57
PF00042,0.55,1.99,0.08
PF00043,0.25,0.55,0.42
PF00044,0.76,3.12,0.02
PF00045,0.24,1.14,0.44
PF00046,0.32,1.79,0.36
PF00047,0.25,0.73,0.38
PF00048,0.33,1.54,0.27
PF00049,0.2,1.1,0.62
PF00050,0.29,1.94,0.42
PF00051,0.36,3.48,0.51
PF00052,0.38,1.13,0.18
PF00053,0.18,1.93,0.58
PF00054,0.3,0.87,0.26
PF00055,0.35,1.58,0.3
PF00056,0.59,2.16,0.1
PF00057,0.28,2.55,0.47
PF00058,0.27,1.63,0.41
PF00059,0.18,1.01,0.5
PF00060,0.43,1.26,0.1
PF00061,0.25,0.36,0.31
PF00062,0.57,2.65,0.08
PF00063,0.35,2.0,0.37
PF00066,0.45,2.49,0.19
PF00067,0.27,0.78,0.3
PF00068,0.47,2.09,0.14
PF00069,0.13,1.07,0.67
PF00071,0.22,1.44,0.53
PF00074,0.33,1.15,0.27
PF00075,0.78,4.05,0.15
PF00076,0.17,1.04,0.55
PF00077,0.99,5.2,0.0
PF00078,0.61,4.25,0.34
PF00079,0.34,1.42,0.27
PF00080,0.65,2.38,0.06
PF00081,,,0.0
PF00082,0.28,1.69,0.54
PF00083,0.2,0.69,0.5
PF00084,0.16,1.4,0.6
PF00085,0.25,1.16,0.38
PF00086,0.22,1.86,0.53
PF00087,0.6,0.97,0.11
PF00088,0.39,2.26,0.28
PF00089,0.22,1.63,0.53
PF00090,0.2,2.06,0.59
PF00091,0.55,3.01,0.17
PF00092,0.21,0.88,0.45
PF00093,0.28,2.07,0.4
PF00094,0.28,0.95,0.28
PF00095,0.33,2.24,0.33
PF00096,0.32,2.78,0.45
PF00097,0.34,2.09,0.31
PF00098,0.53,3.35,0.15
PF00100,0.26,0.87,0.37
PF00102,0.35,1.95,0.32
PF00103,0.75,3.25,0.07
PF00104,0.25,0.88,0.37
PF00105,0.57,3.29,0.11
PF00106,0.18,0.87,0.57
PF00107,0.35,1.14,0.28
PF00108,0.48,1.18,0.11
PF00109,0.6,0.72,0.05
PF00110,0.44,2.51,0.23
PF00111,0.46,0.99,0.13
PF00112,0.36,1.85,0.31
PF00113,0.69,2.76,0.09
PF00115,,,0.0
PF00116,,,0.0
PF00117,0.44,0.97,0.18
PF00118,0.27,0.92,0.39
PF00119,,,0.0
PF00120,0.55,0.3,0.23
PF00121,,,0.0
PF00122,0.23,0.97,0.46
PF00123,0.47,1.76,0.1
PF00125,0.36,1.66,0.34
PF00128,0.49,3.21,0.4
PF00129,0.46,1.64,0.14
PF00130,0.32,1.76,0.29
PF00131,0.76,5.27,0.14
PF00133,0.24,0.86,0.53
PF00134,0.2,0.76,0.49
PF00135,0.45,2.0,0.22
PF00136,0.55,1.32,0.1
PF00137,0.57,1.81,0.06
PF00143,0.7,3.2,0.11
PF00144,0.39,0.48,0.41
PF00145,0.35,0.96,0.44
PF00146,,,0.0
PF00147,0.4,2.29,0.28
PF00149,0.16,0.57,0.6
PF00151,0.48,2.06,0.18
PF00152,0.37,0.85,0.3
PF00153,0.17,0.75,0.52
PF00155,0.25,0.32,0.3
PF00156,0.33,0.74,0.42
PF00157,0.57,3.2,0.25
PF00159,0.72,3.04,0.03
PF00160,0.53,2.64,0.19
PF00162,0.93,4.6,0.0
PF00163,0.58,0.65,0.15
PF00164,0.63,1.95,0.18
PF00166,,,0.0
PF00167,0.38,1.92,0.29
PF00168,0.09,0.71,0.73
PF00169,0.12,0.54,0.61
PF00170,0.32,1.51,0.33
PF00171,0.38,1.43,0.24
PF00173,0.29,1.24,0.38
PF00174,,,0.0
PF00175,0.37,1.05,0.18
PF00176,0.16,1.52,0.67
PF00177,0.59,0.67,0.09
PF00178,0.58,2.8,0.08
PF00179,0.23,1.58,0.53
PF00180,0.48,1.39,0.15
PF00181,0.61,0.87,0.11
PF00183,0.28,2.79,0.6
PF00184,0.91,5.08,0.0
PF00185,0.6,0.87,0.06
PF00186,0.86,4.79,0.11
PF00188,0.41,1.7,0.19
PF00189,,,0.0
PF00191,0.43,1.51,0.12
PF00193,0.44,2.08,0.22
PF00194,0.38,1.83,0.27
PF00198,0.55,1.45,0.04
PF00199,,,0.0
PF00200,0.51,3.08,0.18
PF00201,0.59,2.66,0.07
PF00202,0.47,1.38,0.16
PF00203,,,0.0
PF00204,0.9,4.44,0.01
PF00205,0.63,1.11,0.07
PF00206,0.43,0.23,0.26
PF00207,0.49,2.07,0.11
PF00208,0.98,5.2,0.01
PF00209,0.46,2.39,0.19
PF00210,0.75,3.35,0.03
PF00211,0.33,1.79,0.35
PF00212,0.62,2.71,0.14
PF00213,,,0.0
PF00214,0.47,2.03,0.35
PF00215,,,0.0
PF00217,0.84,4.1,0.0
PF00219,0.36,2.74,0.39
PF00220,0.89,5.22,0.0
PF00221,,,0.0
PF00224,0.87,3.9,0.0
PF00225,0.27,1.76,0.47
PF00226,0.4,2.37,0.33
PF00227,0.34,0.78,0.16
PF00229,0.28,0.75,0.3
PF00230,0.4,1.3,0.21
PF00231,,,0.0
PF00232,0.37,2.15,0.37
PF00233,0.4,1.82,0.22
PF00235,0.57,1.63,0.07
PF00236,,,0.0
PF00237,0.58,0.43,0.14
PF00238,0.57,0.5,0.12
PF00240,0.28,1.34,0.45
PF00241,0.31,0.78,0.28
PF00243,0.68,3.24,0.08
PF00244,0.82,3.8,0.01
PF00245,0.86,4.02,0.01
PF00246,0.21,1.24,0.55
PF00248,0.38,1.62,0.3
PF00249,0.29,1.4,0.35
PF00250,0.52,2.88,0.19
PF00252,0.69,2.08,0.1
PF00253,0.61,0.66,0.09
PF00254,0.44,1.84,0.2
PF00255,0.61,-inf,0.03
PF00258,0.39,1.56,0.28
PF00260,,,0.0
PF00261,0.89,3.96,0.0
PF00262,0.39,2.6,0.42
PF00264,0.6,2.08,0.09
PF00265,,,0.0
PF00266,0.41,0.54,0.2
PF00268,0.92,4.64,0.0
PF00270,0.14,0.89,0.66
PF00271,0.12,0.78,0.68
PF00273,0.39,1.03,0.06
PF00274,0.86,3.89,0.0
PF00276,0.55,1.24,0.29
PF00277,0.79,3.59,0.05
PF00278,,,0.0
PF00281,,,0.0
PF00282,0.37,1.69,0.36
PF00285,0.55,0.69,0.28
PF00287,0.53,2.11,0.11
PF00288,0.43,0.78,0.26
PF00289,0.59,2.19,0.07
PF00291,0.39,0.72,0.26
PF00292,0.8,3.9,0.04
PF00293,0.24,0.54,0.4
PF00294,0.45,0.22,0.09
PF00297,0.46,1.81,0.35
PF00298,0.62,0.91,0.04
PF00300,0.29,1.11,0.43
PF00303,,,0.0
PF00305,0.54,2.23,0.13
PF00306,,,0.0
PF00307,0.18,0.68,0.49
PF00312,0.58,0.39,0.11
PF00313,0.42,1.47,0.19
PF00316,0.89,4.03,0.0
PF00317,,,0.0
PF00318,0.3,0.46,0.52
PF00319,0.85,3.71,0.0
PF00320,0.54,2.69,0.11
PF00322,0.87,4.89,0.0
PF00323,0.66,2.85,0.01
PF00324,0.33,2.15,0.45
PF00326,0.39,1.0,0.17
PF00327,0.59,1.27,0.04
PF00328,0.32,0.59,0.34
PF00329,,,0.0
PF00330,0.41,1.06,0.41
PF00333,0.6,0.63,0.01
PF00334,0.53,1.72,0.08
PF00335,0.25,0.93,0.34
PF00337,0.41,1.52,0.15
PF00338,0.51,0.71,0.06
PF00339,0.39,1.0,0.21
PF00340,0.37,1.17,0.25
PF00341,0.43,1.76,0.16
PF00342,,,0.0
PF00343,0.9,4.45,0.0
PF00344,0.97,4.86,0.01
PF00346,,,0.0
PF00347,0.58,0.03,0.1
PF00348,0.42,0.47,0.18
PF00349,0.64,2.95,0.06
PF00350,0.28,1.08,0.44
PF00351,0.78,3.54,0.0
PF00352,0.55,1.83,0.07
PF00354,0.35,1.21,0.27
PF00355,0.54,2.04,0.3
PF00357,0.57,2.65,0.12
PF00361,0.49,0.59,0.06
PF00362,0.64,2.73,0.03
PF00363,,,0.0
PF00364,0.43,1.05,0.07
PF00365,0.6,2.46,0.06
PF00366,0.62,0.66,0.02
PF00368,,,0.0
PF00370,0.45,1.47,0.24
PF00373,0.14,0.84,0.65
PF00375,0.63,2.67,0.07
PF00377,0.59,0.89,0.05
PF00378,0.35,1.12,0.23
PF00380,0.65,1.29,0.06
PF00382,0.44,0.54,0.04
PF00383,0.3,0.63,0.42
PF00384,,,0.0
PF00385,0.22,1.73,0.55
PF00386,0.37,1.41,0.21
PF00387,0.52,2.4,0.14
PF00388,0.63,2.95,0.07
PF00389,0.53,0.72,0.06
PF00390,0.85,4.07,0.0
PF00393,,,0.0
PF00394,,,0.0
PF00396,0.62,3.32,0.03
PF00397,0.48,2.48,0.14
PF00398,0.45,0.54,0.23
PF00400,0.08,1.12,0.79
PF00402,0.78,3.38,0.0
PF00403,0.42,1.91,0.25
PF00405,0.56,2.44,0.12
PF00406,0.34,1.26,0.32
PF00408,,,0.0
PF00410,,,0.0
PF00411,0.63,1.18,0.05
PF00412,0.21,1.4,0.47
PF00413,0.31,2.58,0.51
PF00414,0.67,2.63,0.01
PF00415,0.23,1.65,0.55
PF00416,,,0.0
PF00418,0.55,2.97,0.2
PF00420,,,0.0
PF00428,0.58,1.44,0.09
PF00429,0.23,1.04,0.55
PF00431,0.2,1.35,0.54
PF00432,0.37,0.76,0.13
PF00433,0.32,1.37,0.32
PF00435,0.15,0.45,0.5
PF00436,,,0.0
PF00438,0.92,4.6,0.0
PF00439,0.24,1.38,0.46
PF00441,0.46,1.21,0.05
PF00443,0.1,1.3,0.77
PF00444,,,0.0
PF00445,,,0.0
PF00446,0.85,4.5,0.0
PF00447,0.5,2.29,0.18
PF00448,0.62,1.4,0.06
PF00450,0.51,1.01,0.11
PF00452,0.36,1.24,0.21
PF00453,,,0.0
PF00454,0.26,1.01,0.41
PF00456,0.7,3.74,0.16
PF00458,0.49,1.88,0.2
PF00459,0.39,0.79,0.24
PF00462,0.41,1.34,0.18
PF00464,0.85,3.76,0.0
PF00465,,,0.0
PF00466,0.54,1.21,0.11
PF00467,0.4,1.39,0.29
PF00468,,,0.0
PF00471,,,0.0
PF00472,0.45,1.4,0.28
PF00473,0.56,1.66,0.05
PF00474,0.49,1.64,0.09
PF00476,0.63,1.62,0.13
PF00478,0.58,2.43,0.17
PF00479,0.64,1.4,0.04
PF00480,,,0.0
PF00481,0.19,0.94,0.58
PF00483,0.47,1.13,0.24
PF00485,0.78,3.37,0.02
PF00487,0.35,0.65,0.22
PF00488,0.56,2.01,0.08
PF00489,,,0.0
PF00490,,,0.0
PF00491,0.78,3.18,0.03
PF00493,0.59,2.47,0.07
PF00494,0.54,-0.17,0.08
PF00498,0.22,0.81,0.45
PF00499,,,0.0
PF00501,0.22,0.53,0.41
PF00503,0.56,2.65,0.13
PF00505,0.43,1.7,0.1
PF00507,,,0.0
PF00510,,,0.0
PF00514,0.26,0.8,0.3
PF00515,0.37,1.07,0.16
PF00517,0.87,4.7,0.08
PF00520,0.14,0.6,0.58
PF00521,0.89,4.28,0.01
PF00525,0.52,2.45,0.24
PF00530,0.35,2.23,0.39
PF00531,0.27,0.7,0.26
PF00533,0.23,0.39,0.34
PF00534,0.38,0.35,0.18
PF00535,0.35,1.55,0.33
PF00536,0.28,0.89,0.3
PF00538,0.44,1.87,0.3
PF00542,,,0.0
PF00549,0.49,0.52,0.06
PF00550,0.37,0.84,0.29
PF00551,0.5,1.41,0.19
PF00552,0.99,5.95,0.0
PF00554,0.42,1.82,0.26
PF00557,0.25,0.6,0.47
PF00560,0.52,1.87,0.22
PF00561,0.14,0.25,0.63
PF00562,0.62,1.98,0.04
PF00564,0.25,0.54,0.35
PF00565,0.39,0.86,0.28
PF00566,0.2,0.98,0.53
PF00567,0.2,0.57,0.45
PF00568,0.4,1.46,0.21
PF00569,0.35,1.92,0.28
PF00570,0.46,0.17,0.1
PF00571,0.23,0.84,0.43
PF00572,0.61,0.74,0.08
PF00573,0.56,0.12,0.14
PF00574,,,0.0
PF00575,0.33,0.7,0.27
PF00576,,,0.0
PF00578,0.66,2.72,0.08
PF00579,0.38,0.07,0.15
PF00581,0.2,0.42,0.46
PF00583,0.21,0.34,0.42
PF00584,,,0.0
PF00586,0.57,1.55,0.18
PF00587,0.25,0.94,0.58
PF00588,0.46,0.71,0.19
PF00590,,,0.0
PF00591,,,0.0
PF00594,0.66,3.16,0.05
PF00595,0.22,1.08,0.44
PF00596,0.58,1.97,0.13
PF00605,0.56,2.59,0.09
PF00607,0.98,5.07,0.0
PF00609,0.53,2.27,0.13
PF00610,0.31,1.23,0.29
PF00611,0.36,1.13,0.17
PF00612,0.34,1.51,0.26
PF00613,0.36,1.42,0.35
PF00614,0.88,4.43,0.0
PF00615,0.25,1.14,0.43
PF00616,0.26,1.33,0.46
PF00617,0.23,1.28,0.5
PF00618,0.21,0.84,0.5
PF00619,0.29,0.65,0.22
PF00620,0.24,1.28,0.44
PF00621,0.25,0.88,0.33
PF00622,0.17,0.72,0.54
PF00623,0.65,2.3,0.07
PF00625,0.27,1.39,0.43
PF00626,0.24,0.6,0.34
PF00627,0.37,1.12,0.16
PF00628,0.28,1.97,0.35
PF00629,0.25,1.07,0.39
PF00630,0.25,1.5,0.47
PF00631,0.44,1.65,0.16
PF00632,0.27,1.44,0.44
PF00633,0.64,1.71,0.18
PF00634,0.5,1.45,0.06
PF00635,0.46,1.26,0.17
PF00636,0.41,1.26,0.44
PF00637,0.3,0.34,0.16
PF00638,0.5,2.9,0.25
PF00639,,,0.0
PF00640,0.22,0.79,0.46
PF00641,0.38,2.21,0.25
PF00642,0.33,2.07,0.3
PF00643,0.26,1.82,0.4
PF00644,0.27,1.08,0.42
PF00645,0.56,1.69,0.06
PF00646,0.31,0.85,0.39
PF00647,,,0.0
PF00648,0.38,2.15,0.34
PF00650,0.44,1.29,0.08
PF00651,0.17,1.1,0.59
PF00652,0.3,1.03,0.27
PF00653,0.53,2.51,0.1
PF00654,0.45,1.85,0.22
PF00656,0.33,1.19,0.31
PF00657,0.51,1.06,0.1
PF00658,0.79,3.55,0.06
PF00659,0.43,1.01,0.16
PF00662,,,0.0
PF00664,0.19,0.24,0.38
PF00665,0.86,5.47,0.13
PF00666,0.56,0.59,0.22
PF00667,0.52,1.5,0.06
PF00670,0.81,3.45,0.01
PF00673,,,0.0
PF00675,0.4,0.91,0.18
PF00676,0.44,1.03,0.14
PF00679,0.47,1.13,0.07
PF00681,0.36,1.56,0.32
PF00682,0.62,1.56,0.08
PF00683,0.34,2.47,0.36
PF00684,0.68,3.0,0.04
PF00685,0.22,0.83,0.47
PF00686,0.42,0.97,0.37
PF00687,0.42,0.44,0.26
PF00688,0.18,0.76,0.58
PF00689,0.4,1.34,0.18
PF00690,0.34,1.08,0.24
PF00692,0.59,1.0,0.2
PF00694,0.62,0.67,0.01
PF00696,,,0.0
PF00698,0.58,0.62,0.14
PF00701,0.62,0.78,0.03
PF00702,0.25,0.39,0.53
PF00703,,,0.0
PF00704,0.44,1.76,0.26
PF00705,,,0.0
PF00708,0.8,3.36,0.0
PF00709,0.9,4.34,0.0
PF00710,,,0.0
PF00711,0.57,2.06,0.05
PF00714,,,0.0
PF00715,,,0.0
PF00717,0.87,3.92,0.02
PF00719,0.87,4.32,0.0
PF00723,0.66,2.2,0.06
PF00725,0.4,0.85,0.19
PF00726,0.41,1.14,0.31
PF00727,,,0.0
PF00728,0.56,2.25,0.24
PF00730,0.46,0.64,0.19
PF00731,,,0.0
PF00732,,,0.0
PF00733,0.36,0.23,0.58
PF00735,0.62,2.79,0.04
PF00736,0.93,4.61,0.0
PF00743,0.7,3.01,0.01
PF00748,0.39,1.5,0.44
PF00749,0.54,0.81,0.05
PF00750,0.65,1.51,0.07
PF00751,0.83,4.26,0.0
PF00752,0.43,0.84,0.13
PF00753,0.24,0.34,0.49
PF00754,0.29,1.42,0.37
PF00755,0.48,1.57,0.12
PF00756,,,0.0
PF00757,0.47,2.47,0.22
PF00758,0.61,0.8,0.09
PF00762,,,0.0
PF00763,0.54,1.9,0.14
PF00764,,,0.0
PF00766,,,0.0
PF00769,0.71,2.66,0.01
PF00773,0.51,1.5,0.15
PF00777,0.29,0.92,0.3
PF00778,0.65,2.81,0.06
PF00779,0.51,2.56,0.12
PF00780,0.26,0.78,0.39
PF00781,0.33,1.6,0.39
PF00782,0.32,1.32,0.3
PF00784,0.4,1.33,0.19
PF00786,0.32,1.47,0.37
PF00787,0.22,0.92,0.46
PF00788,0.2,0.42,0.43
PF00789,0.35,0.78,0.2
PF00790,0.51,1.79,0.06
PF00791,0.38,1.13,0.2
