fasta_file	n_sequences
PF00001.fasta	293
PF00002.fasta	49
PF00003.fasta	22
PF00004.fasta	53
PF00005.fasta	80
PF00006.fasta	5
PF00007.fasta	14
PF00008.fasta	254
PF00009.fasta	20
PF00010.fasta	103
PF00011.fasta	10
PF00012.fasta	17
PF00013.fasta	84
PF00014.fasta	27
PF00017.fasta	109
PF00018.fasta	133
PF00019.fasta	37
PF00020.fasta	43
PF00021.fasta	31
PF00022.fasta	35
PF00023.fasta	131
PF00024.fasta	14
PF00025.fasta	31
PF00026.fasta	10
PF00027.fasta	43
PF00028.fasta	695
PF00029.fasta	22
PF00030.fasta	40
PF00031.fasta	21
PF00032.fasta	1
PF00033.fasta	1
PF00034.fasta	1
PF00035.fasta	33
PF00036.fasta	14
PF00037.fasta	1
PF00038.fasta	74
PF00039.fasta	13
PF00040.fasta	20
PF00041.fasta	610
PF00042.fasta	12
PF00043.fasta	17
PF00044.fasta	2
PF00045.fasta	85
PF00046.fasta	245
PF00047.fasta	94
PF00048.fasta	44
PF00049.fasta	10
PF00050.fasta	22
PF00051.fasta	47
PF00052.fasta	12
PF00053.fasta	176
PF00054.fasta	21
PF00055.fasta	16
PF00056.fasta	8
PF00057.fasta	208
PF00058.fasta	110
PF00059.fasta	114
PF00060.fasta	18
PF00061.fasta	33
PF00062.fasta	8
PF00063.fasta	42
PF00066.fasta	15
PF00067.fasta	62
PF00068.fasta	10
PF00069.fasta	365
PF00071.fasta	136
PF00074.fasta	15
PF00075.fasta	10
PF00076.fasta	325
PF00077.fasta	13
PF00078.fasta	11
PF00079.fasta	39
PF00080.fasta	3
PF00081.fasta	1
PF00082.fasta	11
PF00083.fasta	40
PF00084.fasta	322
PF00085.fasta	44
PF00086.fasta	29
PF00087.fasta	7
PF00088.fasta	13
PF00089.fasta	125
PF00090.fasta	117
PF00091.fasta	24
PF00092.fasta	91
PF00093.fasta	40
PF00094.fasta	59
PF00095.fasta	23
PF00096.fasta	5522
PF00097.fasta	37
PF00098.fasta	42
PF00100.fasta	16
PF00102.fasta	50
PF00103.fasta	6
PF00104.fasta	48
PF00105.fasta	46
PF00106.fasta	45
PF00107.fasta	15
PF00108.fasta	6
PF00109.fasta	2
PF00110.fasta	19
PF00111.fasta	4
PF00112.fasta	13
PF00113.fasta	4
PF00115.fasta	1
PF00116.fasta	1
PF00117.fasta	5
PF00118.fasta	16
PF00119.fasta	1
PF00120.fasta	2
PF00121.fasta	1
PF00122.fasta	30
PF00123.fasta	10
PF00125.fasta	47
PF00128.fasta	8
PF00129.fasta	19
PF00130.fasta	68
PF00131.fasta	14
PF00133.fasta	9
PF00134.fasta	34
PF00135.fasta	15
PF00136.fasta	3
PF00137.fasta	7
PF00143.fasta	17
PF00144.fasta	2
PF00145.fasta	4
PF00146.fasta	1
PF00147.fasta	24
PF00149.fasta	28
PF00151.fasta	10
PF00152.fasta	6
PF00153.fasta	155
PF00155.fasta	17
PF00156.fasta	5
PF00157.fasta	17
PF00159.fasta	4
PF00160.fasta	24
PF00162.fasta	2
PF00163.fasta	2
PF00164.fasta	2
PF00166.fasta	1
PF00167.fasta	22
PF00168.fasta	220
PF00169.fasta	193
PF00170.fasta	28
PF00171.fasta	20
PF00173.fasta	15
PF00174.fasta	1
PF00175.fasta	12
PF00176.fasta	33
PF00177.fasta	2
PF00178.fasta	29
PF00179.fasta	40
PF00180.fasta	5
PF00181.fasta	2
PF00183.fasta	15
PF00184.fasta	2
PF00185.fasta	2
PF00186.fasta	2
PF00188.fasta	15
PF00189.fasta	1
PF00191.fasta	60
PF00193.fasta	24
PF00194.fasta	18
PF00198.fasta	4
PF00199.fasta	1
PF00200.fasta	20
PF00201.fasta	23
PF00202.fasta	5
PF00203.fasta	1
PF00204.fasta	2
PF00205.fasta	2
PF00206.fasta	3
PF00207.fasta	11
PF00208.fasta	2
PF00209.fasta	19
PF00210.fasta	5
PF00211.fasta	29
PF00212.fasta	3
PF00213.fasta	1
