Pfam_code,alignment_type,score_original
PF00001,FULL,0.7
PF00002,REC,1.05
PF00003,FULL,1.01
PF00004,REC,1.42
PF00005,REC,1.19
PF00006,FULL,1.89
PF00007,REC,1.65
PF00008,REC,2.56
PF00009,REC,1.2
PF00010,REC,1.4
PF00011,REC,1.75
PF00012,REC,2.32
PF00013,SEED,1.07
PF00014,REC,2.31
PF00017,SEED,1.47
PF00018,REC,1.64
PF00019,REC,1.99
PF00020,SEED,1.68
PF00021,SEED,0.79
PF00022,REC,2.28
PF00023,FULL,1.49
PF00024,REC,0.99
PF00025,REC,1.87
PF00026,REC,2.25
PF00027,REC,1.12
PF00028,REC,1.02
PF00029,REC,2.31
PF00030,SEED,1.45
PF00031,REC,1.03
PF00035,REC,1.08
PF00036,REC,2.28
PF00038,REC,1.78
PF00039,REC,2.34
PF00040,FULL,2.92
PF00041,REC,0.76
PF00042,REC,2.02
PF00043,REC,0.9
PF00044,REC,3.25
PF00045,REC,1.17
PF00046,SEED,1.66
PF00047,REC,0.76
PF00048,REC,1.59
PF00049,REC,1.12
PF00050,REC,2.18
PF00051,FULL,3.04
PF00052,SEED,0.98
PF00053,SEED,2.07
PF00054,REC,0.9
PF00055,FULL,2.38
PF00056,REC,2.17
PF00057,REC,2.66
PF00058,REC,1.65
PF00059,REC,1.04
PF00060,SEED,1.1
PF00061,REC,0.39
PF00062,REC,2.67
PF00063,FULL,1.99
PF00066,REC,2.59
PF00067,REC,0.82
PF00068,REC,2.13
PF00069,REC,1.08
PF00071,REC,1.46
PF00074,REC,1.21
PF00075,REC,4.09
PF00076,REC,1.09
PF00077,REC,5.23
PF00078,REC,4.26
PF00079,SEED,1.66
PF00080,FULL,3.2
PF00082,FULL,2.15
PF00083,REC,0.82
PF00084,REC,1.45
PF00085,REC,1.23
PF00086,REC,2.11
PF00087,REC,1.26
PF00088,REC,2.26
PF00089,REC,1.64
PF00090,REC,2.15
PF00091,REC,3.03
PF00092,REC,0.9
PF00093,REC,2.1
PF00094,REC,0.97
PF00095,REC,2.31
PF00096,FULL,2.75
PF00097,REC,1.96
PF00098,REC,3.73
PF00100,REC,1.07
PF00102,REC,1.96
PF00103,REC,3.25
PF00104,REC,0.92
PF00105,REC,3.4
PF00106,SEED,1.01
PF00107,REC,1.14
PF00108,REC,1.19
PF00109,FULL,2.15
PF00110,REC,2.52
PF00111,FULL,1.4
PF00112,REC,1.87
PF00113,REC,2.79
PF00117,REC,1.02
PF00118,REC,1.02
PF00120,FULL,2.32
PF00122,REC,1.52
PF00123,REC,1.92
PF00125,REC,1.72
PF00128,FULL,2.67
PF00129,REC,1.69
PF00130,REC,1.86
PF00131,REC,5.29
PF00133,FULL,2.05
PF00134,REC,0.83
PF00135,SEED,1.46
PF00136,REC,1.35
PF00137,REC,1.81
PF00143,REC,3.26
PF00144,REC,0.57
PF00145,REC,1.03
PF00147,REC,2.32
PF00149,REC,0.58
PF00151,REC,2.09
PF00152,REC,0.9
PF00153,REC,0.83
PF00155,FULL,0.57
PF00156,REC,0.97
PF00157,REC,3.28
PF00159,REC,3.14
PF00160,REC,2.7
PF00162,REC,4.64
PF00163,REC,0.89
PF00164,REC,2.01
PF00167,REC,1.94
PF00168,REC,0.79
PF00169,REC,0.56
PF00170,REC,1.6
PF00171,REC,1.45
PF00173,REC,1.31
PF00175,REC,1.08
PF00176,SEED,1.29
PF00177,REC,0.85
PF00178,REC,2.8
PF00179,REC,1.66
PF00180,FULL,2.25
PF00181,REC,1.05
PF00183,REC,2.84
PF00184,REC,5.08
PF00185,REC,0.87
PF00186,REC,4.93
PF00188,FULL,1.95
PF00191,REC,1.53
PF00193,REC,2.1
PF00194,REC,1.85
PF00198,REC,1.46
PF00200,REC,3.08
PF00201,FULL,2.56
PF00202,REC,1.39
PF00204,FULL,4.7
PF00205,REC,1.17
PF00206,REC,0.24
PF00207,REC,2.08
PF00208,REC,5.2
PF00209,REC,2.4
PF00210,REC,3.36
PF00211,SEED,2.14
PF00212,REC,2.72
PF00214,FULL,2.13
PF00217,REC,4.1
PF00219,FULL,2.75
PF00220,REC,5.22
PF00224,FULL,4.51
PF00225,REC,1.77
PF00226,REC,2.4
PF00227,REC,0.79
PF00229,REC,0.79
PF00230,SEED,2.63
PF00232,SEED,2.54
PF00233,REC,1.83
PF00235,FULL,3.09
PF00237,REC,0.5
PF00238,REC,0.51
PF00240,REC,1.38
PF00241,REC,0.78
PF00243,REC,3.26
PF00244,REC,3.8
PF00245,REC,4.02
PF00246,REC,1.35
PF00248,REC,1.66
PF00249,FULL,1.87
PF00250,REC,2.98
PF00252,REC,2.15
PF00253,REC,0.84
PF00254,REC,1.91
PF00255,REC,2.39
PF00258,REC,1.61
PF00261,REC,4.07
PF00262,REC,2.6
PF00264,FULL,2.72
PF00266,REC,0.4
PF00268,REC,4.65
PF00270,SEED,1.04
PF00271,REC,0.85
PF00273,REC,1.04
PF00274,FULL,4.29
PF00276,FULL,3.25
PF00277,REC,3.63
PF00282,REC,1.75
PF00285,FULL,4.9
PF00287,FULL,2.5
PF00288,REC,0.89
PF00289,REC,2.22
PF00291,REC,0.73
PF00292,REC,3.91
PF00293,REC,0.65
PF00294,REC,0.25
PF00297,REC,2.29
PF00298,REC,0.97
PF00300,REC,1.29
PF00305,REC,2.41
PF00307,REC,0.73
PF00312,REC,0.44
PF00313,REC,1.55
PF00316,REC,4.06
PF00318,REC,2.12
PF00319,REC,3.71
PF00320,REC,2.82
PF00322,REC,4.89
PF00323,REC,2.85
PF00324,REC,2.16
PF00326,REC,1.03
PF00327,REC,1.29
PF00328,SEED,3.94
PF00330,REC,2.05
PF00333,REC,0.63
PF00334,FULL,2.03
PF00335,SEED,0.89
PF00337,REC,1.55
PF00338,REC,0.71
PF00339,REC,1.03
PF00340,REC,1.31
PF00341,REC,1.76
PF00343,REC,4.45
PF00344,FULL,4.79
PF00347,REC,0.22
PF00348,REC,0.5
PF00349,REC,2.97
PF00350,REC,1.09
PF00351,REC,3.55
PF00352,REC,1.86
PF00354,REC,1.27
PF00355,REC,2.35
PF00357,REC,2.75
PF00361,FULL,0.59
PF00362,REC,2.74
PF00364,REC,1.1
PF00365,FULL,2.92
PF00366,REC,0.68
PF00370,REC,1.49
PF00373,REC,0.83
PF00375,REC,2.69
PF00377,REC,0.89
PF00378,REC,1.15
PF00380,REC,1.35
PF00382,REC,0.59
PF00383,REC,0.68
PF00385,REC,1.8
PF00386,SEED,1.21
PF00387,REC,2.42
PF00388,REC,2.75
PF00389,REC,1.38
PF00390,REC,4.07
PF00396,REC,3.32
PF00397,REC,2.48
PF00398,REC,0.61
PF00400,FULL,1.06
PF00402,REC,3.38
PF00403,REC,1.96
PF00405,SEED,2.69
PF00406,REC,1.3
PF00411,REC,1.18
PF00412,REC,1.45
PF00413,SEED,2.87
PF00414,FULL,2.63
PF00415,FULL,1.46
PF00418,REC,3.08
PF00428,REC,1.45
PF00429,REC,1.53
PF00431,REC,1.37
PF00432,REC,1.38
PF00433,REC,1.25
PF00435,REC,0.48
PF00438,REC,4.64
PF00439,REC,1.47
PF00441,REC,1.22
PF00443,SEED,0.7
PF00446,REC,4.5
PF00447,REC,2.3
PF00448,REC,1.42
PF00450,FULL,3.42
PF00452,REC,1.25
PF00454,REC,1.04
PF00456,REC,3.95
PF00458,REC,1.98
PF00459,REC,0.86
PF00462,REC,1.36
PF00464,REC,3.76
PF00466,REC,1.32
PF00467,REC,1.5
PF00472,REC,1.52
PF00473,REC,1.73
PF00474,REC,1.64
PF00476,REC,1.62
PF00478,FULL,2.78
PF00479,FULL,3.65
