pfam_id,fasta_seqs,sto_lines
PF00032,1,7
PF00033,1,7
PF00034,1,7
PF00037,1,7
PF00081,1,7
PF00115,1,17
PF00116,1,7
PF00119,1,12
PF00121,1,12
PF00146,1,12
PF00166,1,7
PF00174,1,7
PF00189,1,7
PF00199,1,12
PF00203,1,7
PF00213,1,7
PF00215,1,12
PF00221,1,17
PF00231,1,12
PF00236,1,7
PF00260,1,7
PF00265,1,7
PF00281,1,7
PF00303,1,12
PF00306,1,7
PF00317,1,7
PF00329,1,7
PF00342,1,17
PF00346,1,12
PF00363,1,7
PF00368,1,12
PF00384,1,12
PF00393,1,12
PF00394,1,7
PF00408,1,7
PF00410,1,7
PF00416,1,7
PF00420,1,7
PF00436,1,7
PF00444,1,7
PF00445,1,7
PF00453,1,7
PF00465,1,7
PF00468,1,7
PF00471,1,7
PF00480,1,12
PF00489,1,7
PF00490,1,12
PF00499,1,7
PF00507,1,7
PF00510,1,12
PF00542,1,7
PF00574,1,7
PF00576,1,7
PF00584,1,7
PF00590,1,12
PF00591,1,12
PF00639,1,7
PF00647,1,7
PF00662,1,7
PF00673,1,7
PF00703,1,7
PF00705,1,7
PF00710,1,12
PF00714,1,7
PF00715,1,7
PF00727,1,7
PF00731,1,7
PF00732,1,12
PF00756,1,12
PF00762,1,12
PF00764,1,7
PF00766,1,7
PF00809,1,12
PF00811,1,7
PF00827,1,7
PF00829,1,7
PF00830,1,7
PF00831,1,7
PF00833,1,7
PF00841,1,7
PF00861,1,7
PF00865,1,12
PF00881,1,7
PF00882,1,7
PF00886,1,7
PF00889,1,12
PF00890,1,17
PF00895,1,7
PF00923,1,12
PF00931,1,7
PF00940,1,17
PF00953,1,7
PF00958,1,7
PF00984,1,7
PF00997,1,7
PF01015,1,12
PF01016,1,7
PF01020,1,7
PF01035,1,7
PF01042,1,7
PF01053,1,12
PF01058,1,7
PF01059,1,7
PF01071,1,7
PF01087,1,7
PF01090,1,7
PF01092,1,7
PF01103,1,12
PF01106,1,7
PF01109,1,7
PF01110,1,7
PF01114,1,7
PF01115,1,12
PF01125,1,7
PF01127,1,7
PF01128,1,12
PF01133,1,7
PF01134,1,17
PF01139,1,17
PF01149,1,7
PF01157,1,7
PF01158,1,7
PF01159,1,7
PF01165,1,7
PF01168,1,12
PF01171,1,12
PF01172,1,7
PF01175,1,12
PF01191,1,7
PF01192,1,7
PF01194,1,7
PF01195,1,7
PF01196,1,7
PF01198,1,7
PF01199,1,7
PF01200,1,7
PF01204,1,17
PF01205,1,7
PF01208,1,12
PF01209,1,12
PF01212,1,12
PF01214,1,7
PF01215,1,7
PF01218,1,12
PF01227,1,7
PF01229,1,17
PF01238,1,7
PF01242,1,7
PF01243,1,7
PF01245,1,7
PF01247,1,7
PF01249,1,7
PF01250,1,7
PF01251,1,7
PF01254,1,7
PF01256,1,12
PF01257,1,7
PF01259,1,12
PF01261,1,12
PF01262,1,12
PF01263,1,12
PF01265,1,12
PF01280,1,7
PF01281,1,7
PF01282,1,7
PF01286,1,7
PF01294,1,7
PF01300,1,7
PF01323,1,12
PF01327,1,7
PF01331,1,12
PF01351,1,12
PF01359,1,7
PF01368,1,7
PF01379,1,12
PF01381,1,7
PF01396,1,7
PF01415,1,7
PF01451,1,7
PF01466,1,7
PF01491,1,7
PF01507,1,7
PF01512,1,7
PF01536,1,12
PF01541,1,7
PF01549,1,7
PF01551,1,7
PF01592,1,7
PF01594,1,12
PF01599,1,7
PF01625,1,7
PF01632,1,7
PF01642,1,17
PF01648,1,7
PF01655,1,7
PF01658,1,7
PF01669,1,7
PF01687,1,7
PF01709,1,7
PF01713,1,7
PF01715,1,12
PF01725,1,7
PF01729,1,7
PF01738,1,12
PF01743,1,7
PF01765,1,7
PF01775,1,7
PF01777,1,7
PF01779,1,7
PF01781,1,7
PF01783,1,7
PF01784,1,12
PF01791,1,12
PF01808,1,12
PF01813,1,7
PF01814,1,7
PF01842,1,7
PF01844,1,7
PF01868,1,7
PF01869,1,12
PF01875,1,12
PF01876,1,12
PF01878,1,7
PF01885,1,7
PF01902,1,7
PF01907,1,7
PF01912,1,12
PF01916,1,12
PF01922,1,7
PF01923,1,7
PF01927,1,7
PF01928,1,12
PF01929,1,7
PF01931,1,7
PF01936,1,7
PF01940,1,12
PF01946,1,12
PF01951,1,7
PF01958,1,7
PF01965,1,7
PF01966,1,7
PF01967,1,7
PF01968,1,12
PF01980,1,7
PF01984,1,7
PF01990,1,7
PF02002,1,7
PF02024,1,7
PF02025,1,7
PF02033,1,7
PF02045,1,7
PF02055,1,12
PF02057,1,12
PF02059,1,7
PF02070,1,7
PF02072,1,7
PF02077,1,12
PF02079,1,7
PF02083,1,7
PF02101,1,17
PF02104,1,12
PF02106,1,17
PF02109,1,7
PF02126,1,12
PF02127,1,17
PF02130,1,7
PF02144,1,12
PF02155,1,12
PF02157,1,12
PF02159,1,7
PF02161,1,17
PF02163,1,12
PF02165,1,12
PF02166,1,17
PF02167,1,12
PF02186,1,7
PF02195,1,7
PF02202,1,7
PF02219,1,12
PF02229,1,7
PF02233,1,17
PF02237,1,7
PF02245,1,7
PF02268,1,7
PF02270,1,7
PF02271,1,7
PF02272,1,7
PF02284,1,7
PF02290,1,7
PF02312,1,7
PF02330,1,12
PF02344,1,7
PF02347,1,17
PF02348,1,12
PF02350,1,12
PF02374,1,12
PF02390,1,7
PF02391,1,7
PF02403,1,7
PF02404,1,12
PF02410,1,7
PF02423,1,12
PF02436,1,12
PF02441,1,12
PF02487,1,17
PF02517,1,7
PF02538,1,17
PF02545,1,7
PF02567,1,12
PF02578,1,12
PF02582,1,7
PF02585,1,7
PF02586,1,12
PF02594,1,7
PF02597,1,7
PF02598,1,12
PF02602,1,12
PF02607,1,7
PF02628,1,12
PF02636,1,12
PF02637,1,7
PF02661,1,7
PF02666,1,12
PF02676,1,12
PF02678,1,7
PF02686,1,7
PF02696,1,17
PF02724,1,22
PF02731,1,7
PF02733,1,12
PF02734,1,7
PF02740,1,7
PF02744,1,7
PF02746,1,7
PF02747,1,7
PF02749,1,7
PF02751,1,7
PF02765,1,7
PF02777,1,7
PF02778,1,7
PF02789,1,7
PF02790,1,7
PF02823,1,7
PF02840,1,7
PF02843,1,7
PF02844,1,7
PF02867,1,17
PF02870,1,7
PF02872,1,7
PF02885,1,7
PF02910,1,7
PF02922,1,7
PF02934,1,12
PF02935,1,7
PF02937,1,7
PF02938,1,7
PF02939,1,7
PF02947,1,7
PF02965,1,12
PF02970,1,7
PF02971,1,7
PF02978,1,7
PF02988,1,7
PF03039,1,12
PF03051,1,17
PF03054,1,12
PF03074,1,22
PF03079,1,7
PF03081,1,12
PF03088,1,7
PF03089,1,12
PF03091,1,7
PF03095,1,12
PF03099,1,7
PF03102,1,12
PF03121,1,7
PF03124,1,12
PF03126,1,7
PF03142,1,17
PF03143,1,7
PF03146,1,7
PF03152,1,7
PF03190,1,7
PF03199,1,7
PF03200,1,17
PF03215,1,7
PF03224,1,12
PF03227,1,7
PF03232,1,7
PF03234,1,7
PF03248,1,7
PF03266,1,7
PF03283,1,17
PF03291,1,12
PF03297,1,7
PF03301,1,12
PF03308,1,12
PF03328,1,12
PF03343,1,22
PF03344,1,7
PF03345,1,12
PF03368,1,7
PF03378,1,17
PF03398,1,7
PF03404,1,7
PF03439,1,7
PF03447,1,7
PF03453,1,7
PF03454,1,7
PF03463,1,7
PF03477,1,7
PF03483,1,12
PF03484,1,7
PF03485,1,7
PF03487,1,7
PF03491,1,7
PF03494,1,7
PF03508,1,7
PF03509,1,7
PF03511,1,12
PF03517,1,7
PF03523,1,7
PF03531,1,7
PF03533,1,7
PF03540,1,7
PF03542,1,12
PF03547,1,12
PF03568,1,17
PF03571,1,17
PF03587,1,12
PF03600,1,17
PF03604,1,7
PF03629,1,12
PF03632,1,12
