Pfam_code,blosum62_global_mean
PF00001,0.8
PF00002,1.26
PF00004,1.16
PF00007,1.24
PF00008,1.57
PF00009,0.82
PF00010,1.17
PF00012,1.23
PF00013,1.07
PF00014,2.42
PF00017,1.47
PF00018,1.68
PF00020,1.68
PF00021,0.79
PF00023,1.07
PF00024,1.04
PF00025,2.16
PF00026,1.96
PF00027,0.97
PF00028,0.4
PF00030,1.45
PF00031,0.73
PF00035,0.56
PF00036,0.76
PF00038,1.99
PF00041,0.39
PF00043,0.44
PF00044,3.1
PF00045,0.94
PF00046,1.66
PF00047,0.15
PF00049,
PF00050,
PF00051,2.61
PF00052,0.98
PF00053,2.07
PF00054,0.71
PF00057,2.53
PF00058,0.54
PF00059,1.18
PF00060,1.1
PF00061,0.09
PF00062,
PF00063,
PF00067,0.48
PF00068,2.67
PF00069,0.96
PF00070,0.65
PF00071,2.02
PF00074,
PF00075,
PF00076,0.88
PF00077,
PF00078,
PF00079,1.66
PF00081,
PF00082,
PF00083,
PF00084,0.66
PF00086,1.66
PF00088,2.74
PF00089,1.51
PF00090,2.05
PF00091,1.67
PF00092,0.91
PF00093,1.89
PF00094,0.76
PF00095,2.27
PF00096,1.83
PF00097,2.15
PF00098,2.09
PF00102,1.95
PF00103,3.72
PF00105,3.15
PF00106,1.01
PF00108,
PF00109,
PF00112,2.04
PF00117,1.27
PF00118,
PF00120,
PF00123,
PF00125,0.17
PF00129,2.86
PF00130,1.76
PF00132,0.74
PF00133,
PF00134,1.91
PF00135,1.46
PF00136,
PF00143,1.64
PF00146,
PF00147,3.02
PF00149,-0.04
PF00151,
PF00152,
PF00153,0.75
PF00155,
PF00167,1.94
PF00168,0.6
PF00169,0.28
PF00170,1.4
PF00171,
PF00173,1.15
PF00175,
PF00176,1.29
PF00179,1.35
PF00188,1.32
PF00191,1.36
PF00193,2.34
PF00194,1.56
PF00200,
PF00201,2.96
PF00202,
PF00206,0.2
PF00207,1.81
PF00209,2.66
PF00211,2.14
PF00213,
PF00215,
PF00217,
PF00219,2.56
PF00220,5.22
PF00224,
PF00225,1.64
PF00226,2.56
PF00229,0.72
PF00230,2.63
PF00232,2.54
PF00236,
PF00240,0.71
PF00241,
PF00245,
PF00246,1.55
PF00249,1.1
PF00250,
PF00254,1.41
PF00255,-inf
PF00258,1.51
PF00261,
PF00270,1.04
PF00271,1.06
PF00273,
PF00278,
PF00282,
PF00287,
PF00288,0.64
PF00289,
PF00292,3.99
PF00293,0.15
PF00297,
PF00307,0.58
PF00313,
PF00320,1.32
PF00324,
PF00328,3.94
PF00334,
PF00335,0.89
PF00337,1.44
PF00340,0.37
PF00341,1.01
PF00342,
PF00350,
PF00354,2.84
PF00357,2.7
PF00364,1.57
PF00370,
PF00373,0.99
PF00378,0.63
PF00382,0.01
PF00383,0.24
PF00384,
PF00385,1.54
PF00386,1.21
PF00388,2.94
PF00389,
PF00390,3.8
PF00394,1.37
PF00396,3.28
PF00397,1.15
PF00400,0.65
PF00405,2.69
PF00406,
PF00412,1.26
PF00413,2.87
PF00415,1.13
PF00418,
PF00420,
PF00431,1.49
PF00432,0.42
PF00433,
PF00435,0.57
PF00439,0.6
PF00443,0.7
PF00447,
PF00448,
PF00450,
PF00454,2.29
PF00459,
PF00462,3.85
PF00464,3.76
PF00467,0.82
PF00473,
PF00474,3.79
PF00478,
PF00481,0.59
PF00487,
PF00488,
PF00491,
PF00498,0.63
PF00501,1.26
PF00503,2.93
PF00505,1.22
PF00514,0.55
PF00515,0.59
PF00520,0.64
PF00530,1.62
PF00531,0.56
PF00533,0.27
PF00535,0.2
PF00536,0.92
PF00554,
PF00560,0.29
PF00561,-0.37
PF00564,0.66
PF00566,
PF00567,0.64
PF00568,0.33
PF00571,0.33
PF00573,
PF00579,
PF00581,0.64
PF00583,-0.17
PF00587,
PF00588,
PF00591,
PF00595,0.86
PF00596,
PF00605,2.67
PF00607,
PF00609,1.89
PF00610,0.88
PF00611,0.87
PF00612,1.1
PF00613,1.02
PF00615,1.17
PF00616,0.52
PF00618,0.19
PF00619,0.48
PF00620,1.18
PF00621,0.9
PF00622,0.66
PF00623,2.19
PF00625,0.37
PF00626,0.53
PF00627,1.02
PF00628,1.9
PF00629,1.02
PF00630,1.59
PF00631,1.19
PF00632,1.54
PF00633,1.03
PF00634,
PF00635,0.91
