Pfam_code,HMMER_conservation,SEED_conservation,HMMER_vs_SEED_conservation_diff,HMMER_vs_SEED_conservation_%_improvement
PF00001,0.24,0.24,0.00,0.00
PF00002,0.36,0.36,0.00,0.00
PF00004,0.37,0.37,0.00,0.00
PF00007,0.59,0.60,-0.01,-1.67
PF00008,0.44,0.41,0.03,7.32
PF00009,0.47,0.48,-0.01,-2.08
PF00010,0.41,0.41,0.00,0.00
PF00012,0.65,0.65,0.00,0.00
PF00013,0.31,0.38,-0.07,-18.42
PF00014,0.50,0.50,0.00,0.00
PF00017,0.37,0.39,-0.02,-5.13
PF00018,0.42,0.44,-0.02,-4.55
PF00020,0.53,0.65,-0.12,-18.46
PF00021,0.32,0.39,-0.07,-17.95
PF00023,0.36,0.23,0.13,56.52
PF00024,0.38,0.39,-0.01,-2.56
PF00025,0.61,0.62,-0.01,-1.61
PF00026,0.67,0.68,-0.01,-1.47
PF00027,0.48,0.55,-0.07,-12.73
PF00028,0.30,0.36,-0.06,-16.67
PF00030,0.36,0.44,-0.08,-18.18
PF00031,0.44,0.44,0.00,0.00
PF00035,0.42,0.44,-0.02,-4.55
PF00038,0.57,0.56,0.01,1.79
PF00041,0.20,0.25,-0.05,-20.00
PF00043,0.42,0.44,-0.02,-4.55
PF00044,0.77,0.77,0.00,0.00
PF00045,0.30,0.32,-0.02,-6.25
PF00046,0.51,0.53,-0.02,-3.77
PF00047,0.29,0.29,0.00,0.00
PF00049,,,,
PF00050,,,,
PF00051,0.65,0.55,0.10,18.18
PF00052,0.59,0.60,-0.01,-1.67
PF00053,0.29,0.35,-0.06,-17.14
PF00054,0.33,0.35,-0.02,-5.71
PF00057,0.49,0.53,-0.04,-7.55
PF00058,0.34,0.58,-0.24,-41.38
PF00059,0.33,0.34,-0.01,-2.94
PF00060,0.45,0.49,-0.04,-8.16
PF00061,0.29,0.30,-0.01,-3.33
PF00062,,,,
PF00063,,,,
PF00067,0.37,0.37,0.00,0.00
PF00068,0.64,0.65,-0.01,-1.54
PF00069,0.39,0.38,0.01,2.63
PF00071,0.59,0.59,0.00,0.00
PF00074,,,,
PF00075,,,,
PF00076,0.30,0.40,-0.10,-25.00
PF00077,,,,
PF00078,,,,
PF00079,0.51,0.48,0.03,6.25
PF00081,,,,
PF00082,,,,
PF00083,,,,
PF00084,0.28,0.47,-0.19,-40.43
PF00086,0.30,0.61,-0.31,-50.82
PF00088,0.62,,,
PF00089,0.38,0.38,0.00,0.00
PF00090,0.37,0.47,-0.10,-21.28
PF00091,0.67,0.66,0.01,1.52
PF00092,0.24,0.26,-0.02,-7.69
PF00093,0.43,0.40,0.03,7.50
PF00094,0.36,0.41,-0.05,-12.20
PF00095,0.55,0.53,0.02,3.77
PF00096,0.49,0.40,0.09,22.50
PF00097,0.65,0.65,0.00,0.00
PF00098,0.67,0.56,0.11,19.64
PF00102,0.46,0.46,0.00,0.00
PF00103,0.88,0.86,0.02,2.33
PF00105,0.63,0.64,-0.01,-1.56
PF00106,0.51,0.49,0.02,4.08
PF00108,,,,
PF00109,,,,
PF00112,0.52,0.51,0.01,1.96
PF00117,0.57,0.56,0.01,1.79
PF00118,,,,
PF00120,,,,
PF00125,0.59,0.57,0.02,3.51
PF00129,0.73,0.73,0.00,0.00
PF00130,0.40,0.43,-0.03,-6.98
PF00133,,,,
PF00134,0.65,0.66,-0.01,-1.52
