Pfam_code,HMMER_conservation,SEED_conservation,HMMER_vs_SEED_conservation_diff,HMMER_vs_SEED_conservation_%_improvement
PF00001,0.37,0.24,0.13,54.17
PF00002,0.46,0.36,0.10,27.78
PF00004,0.47,0.37,0.10,27.03
PF00007,0.62,0.60,0.02,3.33
PF00008,0.49,0.41,0.08,19.51
PF00009,0.53,0.48,0.05,10.42
PF00010,0.45,0.41,0.04,9.76
PF00012,0.65,0.65,0.00,0.00
PF00013,0.37,0.38,-0.01,-2.63
PF00014,0.55,0.50,0.05,10.00
PF00017,0.46,0.39,0.07,17.95
PF00018,0.44,0.44,0.00,0.00
PF00020,0.56,0.65,-0.09,-13.85
PF00021,0.36,0.39,-0.03,-7.69
PF00023,0.45,0.23,0.22,95.65
PF00024,0.46,0.39,0.07,17.95
PF00025,0.63,0.62,0.01,1.61
PF00026,0.68,0.68,0.00,0.00
PF00027,0.52,0.55,-0.03,-5.45
PF00028,0.37,0.36,0.01,2.78
PF00030,0.43,0.44,-0.01,-2.27
PF00031,0.46,0.44,0.02,4.55
PF00035,0.44,0.44,0.00,0.00
PF00038,0.58,0.56,0.02,3.57
PF00041,0.30,0.25,0.05,20.00
PF00043,0.44,0.44,0.00,0.00
PF00044,0.77,0.77,0.00,0.00
PF00045,0.39,0.32,0.07,21.88
PF00046,0.52,0.53,-0.01,-1.89
PF00047,0.34,0.29,0.05,17.24
PF00049,1.00,1.00,0.00,0.00
PF00050,1.00,1.00,0.00,0.00
PF00051,0.69,0.55,0.14,25.45
PF00052,0.60,0.60,0.00,0.00
PF00053,0.42,0.35,0.07,20.00
PF00054,0.40,0.35,0.05,14.29
PF00057,0.55,0.53,0.02,3.77
PF00058,0.44,0.58,-0.14,-24.14
PF00059,0.39,0.34,0.05,14.71
PF00060,0.54,0.49,0.05,10.20
PF00061,0.31,0.30,0.01,3.33
PF00062,1.00,1.00,0.00,0.00
PF00063,1.00,1.00,0.00,0.00
PF00067,0.40,0.37,0.03,8.11
