uniprot	domain_id	domain_name	start	end
A0A087X1C5	PF00067	Cytochrome P450	34	329
A0A087X1C5	PF00067	Cytochrome P450	348	511
A0A096LP01	NA	NA	NA	NA
A0A0B4J2F0	PF23670	PIGBOS1-like	1	53
A0A0C5B5G6	PF21945	Mitochondrial-derived peptide MOTS-c	1	16
A0A0K2S4Q6	PF07686	Immunoglobulin V-set domain	27	114
A0A0U1RRE5	PF21949	Negative regulator of P-body association	1	68
A0A1B0GTW7	PF01457	Leishmanolysin	260	595
A0A2R8Y7D0	PF00240	Ubiquitin family	27	84
A0A8I5KQE6	PF00318	Ribosomal protein S2	19	111
A0A8I5KQE6	PF00318	Ribosomal protein S2	118	181
A0A8I5KQE6	PF16122	40S ribosomal protein SA C-terminus	202	295
A0AV02	PF00324	Amino acid permease	45	410
A0AV96	PF00076	RNA recognition motif	73	137
A0AV96	PF00076	RNA recognition motif	153	214
A0AV96	PF00076	RNA recognition motif	248	311
A0AVF1	NA	NA	NA	NA
A0AVI4	PF10272	Putative transmembrane protein precursor	17	361
A0AVK6	PF02319	E2F/DP family winged-helix DNA-binding domain	114	182
A0AVK6	PF02319	E2F/DP family winged-helix DNA-binding domain	262	347
A0AVT1	PF00899	ThiF family	449	630
A0AVT1	PF00899	ThiF family	885	931
A0AVT1	PF09358	Ubiquitin fold domain	955	1042
A0AVT1	PF10585	Ubiquitin-activating enzyme, SCCH domain	631	884
A0AVT1	PF16190	Ubiquitin-activating enzyme E1 FCCH domain	225	292
A0AVT1	PF16191	Ubiquitin-activating enzyme E1 four-helix bundle	293	361
A0FGR8	PF00168	C2 domain	385	491
A0FGR8	PF00168	C2 domain	539	628
A0FGR8	PF00168	C2 domain	802	910
A0FGR8	PF17047	Synaptotagmin-like mitochondrial-lipid-binding domain	191	370
A0FGR9	PF00168	C2 domain	307	409
A0FGR9	PF00168	C2 domain	479	550
A0FGR9	PF00168	C2 domain	771	878
A0FGR9	PF17047	Synaptotagmin-like mitochondrial-lipid-binding domain	114	290
A0JLT2	PF10278	Mediator of RNA pol II transcription subunit 19	63	233
A0JNW5	PF24917	Bridge-like lipid transfer protein family member 3A/B	1	1462
A0JP26	PF12796	Ankyrin repeats (3 copies)	143	236
A0JP26	PF12796	Ankyrin repeats (3 copies)	243	335
A0JP26	PF14915	CCDC144C protein coiled-coil region	470	579
A0M8Q6	PF07654	Immunoglobulin C1-set domain	9	93
A0MZ66	NA	NA	NA	NA
A0PJK1	PF00474	Sodium:solute symporter family	50	479
A0PJY2	PF00096	Zinc finger, C2H2 type	260	279
A0PJY2	PF00096	Zinc finger, C2H2 type	288	310
A0PJY2	PF00096	Zinc finger, C2H2 type	316	338
A0PJY2	PF00096	Zinc finger, C2H2 type	344	366
A0PJY2	PF00096	Zinc finger, C2H2 type	400	423
A0PJY2	PF13912	C2H2-type zinc finger	372	396
A0PK00	PF07851	TMEM120A/B	10	331
A0PK05	PF16054	Transmembrane protein family 72	4	136
A0PK11	PF25807	Clarin-2-like	5	206
A1A4S6	PF00169	PH domain	269	367
A1A4S6	PF00620	RhoGAP domain	398	546
A1A4S6	PF14604	Variant SH3 domain	735	784
A1A4S6	PF16746	BAR domain of APPL family	6	249
A1A4Y4	PF05049	Interferon-inducible GTPase (IIGP)	5	180
A1A519	PF17734	Spermatogenesis-associated protein 46	217	266
A1A5B4	PF04547	Calcium-activated chloride channel	179	735
A1A5B4	PF16178	Anoctamin, dimerisation domain	115	176
A1A5C7	PF00083	Sugar (and other) transporter	235	626
A1E959	PF15424	Odontogenic ameloblast-associated family	16	279
A1KXE4	PF14944	Tongue Cancer Chemotherapy Resistant Protein 1	1	195
A1KZ92	PF03098	Animal haem peroxidase	727	1272
A1KZ92	PF07679	Immunoglobulin I-set domain	234	317
A1KZ92	PF07679	Immunoglobulin I-set domain	419	505
A1KZ92	PF07679	Immunoglobulin I-set domain	512	597
A1KZ92	PF13855	Leucine rich repeat	53	110
A1KZ92	PF13855	Leucine rich repeat	123	182
A1KZ92	PF13927	Immunoglobulin domain	329	402
A1KZ92	PF23334	VWC2L-like domain	1404	1449
A1L0T0	PF00205	Thiamine pyrophosphate enzyme, central domain	273	403
