Pfam_code,HMMER_gaps,SEED_gaps,HMMER_vs_SEED_gaps_diff,HMMER_vs_SEED_gaps_%_improvement
PF00001,0.37,0.38,0.01,2.63
PF00002,0.26,0.26,0.00,0.00
PF00004,0.27,0.26,-0.01,-3.85
PF00007,0.10,0.07,-0.03,-42.86
PF00008,0.22,0.17,-0.05,-29.41
PF00009,0.22,0.19,-0.03,-15.79
PF00010,0.15,0.10,-0.05,-50.00
PF00012,0.03,0.02,-0.01,-50.00
PF00013,0.24,0.15,-0.09,-60.00
PF00014,0.11,0.09,-0.02,-22.22
PF00017,0.20,0.18,-0.02,-11.11
PF00018,0.10,0.06,-0.04,-66.67
PF00020,0.09,0.09,0.00,0.00
PF00021,0.25,0.20,-0.05,-25.00
PF00023,0.31,0.49,0.18,36.73
PF00024,0.22,0.19,-0.03,-15.79
PF00025,0.05,0.03,-0.02,-66.67
PF00026,0.02,0.02,0.00,0.00
PF00027,0.12,0.03,-0.09,-300.00
PF00028,0.24,0.12,-0.12,-100.00
PF00030,0.22,0.12,-0.10,-83.33
PF00031,0.08,0.06,-0.02,-33.33
PF00035,0.08,0.04,-0.04,-100.00
PF00038,0.03,0.03,0.00,0.00
PF00041,0.41,0.24,-0.17,-70.83
PF00043,0.12,0.05,-0.07,-140.00
PF00044,0.03,0.00,-0.03,
PF00045,0.28,0.20,-0.08,-40.00
PF00046,0.03,0.00,-0.03,
PF00047,0.22,0.15,-0.07,-46.67
PF00049,0.00,0.00,0.00,
PF00050,0.00,0.00,0.00,
PF00051,0.07,0.07,0.00,0.00
PF00052,0.07,0.04,-0.03,-75.00
PF00053,0.38,0.26,-0.12,-46.15
PF00054,0.21,0.16,-0.05,-31.25
PF00057,0.16,0.08,-0.08,-100.00
PF00058,0.26,0.11,-0.15,-136.36
PF00059,0.23,0.21,-0.02,-9.52
PF00060,0.07,0.06,-0.01,-16.67
PF00061,0.18,0.12,-0.06,-50.00
PF00062,0.00,0.00,0.00,
PF00063,0.00,0.00,0.00,
PF00067,0.14,0.11,-0.03,-27.27
PF00068,0.08,0.06,-0.02,-33.33
PF00069,0.24,0.25,0.01,4.00
PF00071,0.01,0.01,0.00,0.00
PF00074,0.00,0.00,0.00,
PF00075,0.00,0.00,0.00,
PF00076,0.30,0.08,-0.22,-275.00
PF00077,0.00,0.00,0.00,
PF00078,0.00,0.00,0.00,
PF00079,0.06,0.11,0.05,45.45
PF00081,0.00,0.00,0.00,
PF00082,0.00,0.00,0.00,
PF00083,0.00,0.00,0.00,
PF00084,0.38,0.10,-0.28,-280.00
PF00086,0.45,0.07,-0.38,-542.86
PF00088,0.09,0.00,-0.09,
PF00089,0.24,0.24,0.00,0.00
PF00090,0.33,0.15,-0.18,-120.00
PF00091,0.06,0.06,0.00,0.00
PF00092,0.40,0.34,-0.06,-17.65
PF00093,0.20,0.23,0.03,13.04
PF00094,0.14,0.08,-0.06,-75.00
PF00095,0.15,0.16,0.01,6.25
PF00096,0.11,0.08,-0.03,-37.50
PF00097,0.07,0.07,0.00,0.00
PF00098,0.06,0.00,-0.06,
PF00102,0.14,0.13,-0.01,-7.69
PF00103,0.00,0.02,0.02,100.00
PF00105,0.04,0.01,-0.03,-300.00
PF00106,0.05,0.09,0.04,44.44
PF00108,0.00,0.00,0.00,
PF00109,0.00,0.00,0.00,
PF00112,0.13,0.14,0.01,7.14
PF00117,0.06,0.08,0.02,25.00
PF00118,0.00,0.00,0.00,
PF00120,0.00,0.00,0.00,
PF00125,0.05,0.04,-0.01,-25.00
PF00129,0.01,0.01,0.00,0.00
PF00130,0.19,0.15,-0.04,-26.67
PF00133,0.00,0.00,0.00,
PF00134,0.02,0.01,-0.01,-100.00
PF00135,0.11,0.15,0.04,26.67
PF00136,0.00,0.00,0.00,
PF00143,0.01,0.00,-0.01,
PF00146,0.00,0.00,0.00,
PF00147,0.00,0.00,0.00,
PF00149,0.41,0.41,0.00,0.00
PF00151,0.00,0.00,0.00,
PF00152,0.00,0.00,0.00,
PF00153,0.15,0.11,-0.04,-36.36
PF00155,0.00,0.00,0.00,
PF00167,0.03,0.02,-0.01,-50.00
PF00168,0.55,0.41,-0.14,-34.15
PF00169,0.48,0.39,-0.09,-23.08
PF00170,0.09,0.03,-0.06,-200.00
PF00171,0.00,0.00,0.00,
PF00173,0.04,0.04,0.00,0.00
PF00175,0.00,0.00,0.00,
PF00176,0.11,0.11,0.00,0.00
PF00179,0.04,0.03,-0.01,-33.33
PF00188,0.00,0.00,0.00,
PF00191,0.05,0.01,-0.04,-400.00
PF00194,0.06,0.09,0.03,33.33
PF00201,0.01,0.01,0.00,0.00
PF00202,0.00,0.00,0.00,
PF00206,0.06,0.06,0.00,0.00
PF00207,0.08,0.05,-0.03,-60.00
PF00209,0.01,0.01,0.00,0.00
PF00211,0.12,0.07,-0.05,-71.43
PF00213,0.00,0.00,0.00,
PF00215,0.00,0.00,0.00,
PF00217,0.00,0.00,0.00,
PF00220,0.00,0.00,0.00,
PF00224,0.00,0.00,0.00,
PF00225,0.30,0.30,0.00,0.00
PF00226,0.11,0.08,-0.03,-37.50
PF00229,0.19,0.18,-0.01,-5.56
PF00230,0.02,0.02,0.00,0.00
PF00232,0.24,0.01,-0.23,-2300.00
PF00236,0.00,0.00,0.00,
PF00240,0.18,0.13,-0.05,-38.46
PF00245,0.00,0.00,0.00,
PF00246,0.11,0.09,-0.02,-22.22
PF00249,0.15,0.06,-0.09,-150.00
PF00254,0.12,0.05,-0.07,-140.00
PF00255,0.03,0.03,0.00,0.00
PF00258,0.22,0.23,0.01,4.35
PF00261,0.00,0.00,0.00,
PF00270,0.25,0.23,-0.02,-8.70
PF00271,0.27,0.28,0.01,3.57
PF00282,0.00,0.00,0.00,
PF00287,0.00,0.00,0.00,
PF00288,0.24,0.19,-0.05,-26.32
PF00289,0.00,0.00,0.00,
PF00292,0.00,0.00,0.00,
PF00293,0.30,0.21,-0.09,-42.86
PF00297,0.50,0.00,-0.50,
PF00307,0.30,0.24,-0.06,-25.00
PF00313,0.10,0.00,-0.10,
PF00320,0.09,0.04,-0.05,-125.00
PF00324,0.00,0.00,0.00,
PF00328,0.02,0.02,0.00,0.00
PF00334,0.00,0.00,0.00,
PF00335,0.18,0.25,0.07,28.00
PF00337,0.10,0.08,-0.02,-25.00
PF00340,0.10,0.09,-0.01,-11.11
PF00341,0.00,0.00,0.00,
PF00342,0.00,0.00,0.00,
PF00350,0.00,0.00,0.00,
PF00354,0.01,0.01,0.00,0.00
PF00357,0.10,0.00,-0.10,
PF00364,0.02,0.01,-0.01,-100.00
PF00370,0.00,0.00,0.00,
PF00373,0.13,0.09,-0.04,-44.44
PF00378,0.03,0.03,0.00,0.00
PF00382,0.02,0.02,0.00,0.00
PF00383,0.18,0.14,-0.04,-28.57
PF00384,0.00,0.00,0.00,
PF00385,0.38,0.28,-0.10,-35.71
PF00386,0.07,0.08,0.01,12.50
PF00388,0.03,0.02,-0.01,-50.00
PF00389,0.50,0.00,-0.50,
PF00390,0.00,0.00,0.00,
PF00394,0.00,0.00,0.00,
PF00396,0.01,0.00,-0.01,
PF00397,0.06,0.02,-0.04,-200.00
