Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,SEED_conservation,SEED_blosum,SEED_gaps
PF00001,0.37,0.88,0.04,0.24,0.83,0.38
PF00002,0.46,1.29,0.05,0.36,1.26,0.26
PF00004,0.47,1.24,0.05,0.37,1.16,0.26
PF00007,0.62,1.78,0.05,0.60,1.7,0.07
PF00008,0.49,1.71,0.09,0.41,1.47,0.17
PF00009,0.53,0.9,0.06,0.48,0.82,0.19
PF00010,0.45,1.43,0.07,0.41,1.17,0.10
PF00012,0.65,1.25,0.01,0.65,1.23,0.02
PF00013,0.37,1.08,0.10,0.38,1.06,0.15
PF00014,0.55,2.49,0.01,0.50,2.42,0.09
PF00017,0.46,1.44,0.02,0.39,1.47,0.18
PF00018,0.44,1.69,0.05,0.44,1.68,0.06
PF00020,0.56,1.34,0.05,0.65,1.97,0.09
PF00021,0.36,0.37,0.11,0.39,0.6,0.20
PF00023,0.45,1.71,0.14,0.23,1.2,0.49
PF00024,0.46,1.27,0.05,0.39,1.08,0.19
PF00025,0.63,2.21,0.02,0.62,2.16,0.03
PF00026,0.68,2.01,0.01,0.68,1.96,0.02
PF00027,0.52,1.09,0.05,0.55,0.97,0.03
PF00028,0.37,0.61,0.06,0.36,0.4,0.12
PF00030,0.43,1.37,0.06,0.44,1.41,0.12
PF00031,0.46,0.81,0.03,0.44,0.73,0.06
PF00035,0.44,0.65,0.04,0.44,0.56,0.04
PF00038,0.58,1.99,0.01,0.56,1.99,0.03
PF00041,0.30,0.72,0.14,0.25,0.39,0.24
PF00043,0.44,0.45,0.06,0.44,0.44,0.05
PF00044,0.77,3.21,0.02,0.77,3.1,0.00
PF00045,0.39,1.07,0.08,0.32,0.94,0.20
PF00046,0.52,1.68,0.01,0.53,1.7,0.00
PF00047,0.34,0.38,0.09,0.29,0.14,0.15
PF00049,1.00,,0.00,1.00,,0.00
PF00050,1.00,,0.00,1.00,,0.00
PF00051,0.69,3.33,0.01,0.55,2.61,0.07
PF00052,0.60,0.9,0.04,0.60,0.98,0.04
PF00053,0.42,2.04,0.13,0.35,2.07,0.26
PF00054,0.40,0.84,0.04,0.35,0.71,0.16
PF00057,0.55,2.64,0.06,0.53,2.53,0.08
PF00058,0.44,1.38,0.04,0.58,0.54,0.11
PF00059,0.39,1.28,0.07,0.34,1.18,0.21
PF00060,0.54,1.41,0.02,0.49,1.1,0.06
PF00061,0.31,0.21,0.10,0.30,0.14,0.12
PF00062,1.00,,0.00,1.00,,0.00
PF00063,1.00,,0.00,1.00,,0.00
PF00067,0.40,0.52,0.04,0.37,0.48,0.11
PF00068,0.67,2.71,0.04,0.65,2.67,0.06
PF00069,0.47,1.0,0.05,0.38,0.96,0.25
PF00071,0.60,2.05,0.00,0.59,2.02,0.01
PF00074,1.00,,0.00,1.00,,0.00
PF00075,1.00,,0.00,1.00,,0.00
PF00076,0.39,1.04,0.08,0.40,0.93,0.08
PF00077,1.00,,0.00,1.00,,0.00
PF00078,1.00,,0.00,1.00,,0.00
PF00079,0.53,1.66,0.02,0.48,1.66,0.11
PF00081,1.00,,0.00,1.00,,0.00
PF00082,1.00,,0.00,1.00,,0.00
PF00083,1.00,,0.00,1.00,,0.00
PF00084,0.43,1.48,0.04,0.47,0.72,0.10
PF00086,0.37,2.36,0.32,0.61,1.37,0.07
PF00088,0.62,1.87,0.06,1.00,,0.00
PF00089,0.48,1.57,0.04,0.38,1.48,0.24
PF00090,0.52,2.2,0.04,0.47,2.05,0.15
PF00091,0.70,1.91,0.01,0.66,1.67,0.06
PF00092,0.38,1.01,0.06,0.26,0.91,0.34
PF00093,0.51,2.01,0.04,0.40,1.89,0.23
PF00094,0.39,0.95,0.05,0.41,0.76,0.08
PF00095,0.61,2.56,0.04,0.53,2.27,0.16
PF00096,0.55,2.53,0.01,0.40,1.85,0.08
PF00097,0.65,1.66,0.05,0.65,1.66,0.07
PF00098,0.67,3.46,0.06,0.56,2.09,0.00
PF00102,0.52,2.02,0.03,0.46,1.95,0.13
PF00103,0.88,3.92,0.00,0.86,3.72,0.02
PF00105,0.64,3.25,0.02,0.64,3.11,0.01
PF00106,0.52,0.96,0.03,0.49,1.01,0.09
PF00108,1.00,,0.00,1.00,,0.00
PF00109,1.00,,0.00,1.00,,0.00
PF00112,0.57,2.07,0.04,0.51,2.04,0.14
PF00117,0.57,1.33,0.06,0.56,1.27,0.08
PF00118,1.00,,0.00,1.00,,0.00
PF00120,1.00,,0.00,1.00,,0.00
PF00125,0.59,0.35,0.04,0.57,0.17,0.04
PF00129,0.73,2.87,0.01,0.73,2.86,0.01
PF00130,0.47,1.95,0.06,0.43,1.76,0.15
PF00133,1.00,,0.00,1.00,,0.00
PF00134,0.66,1.94,0.01,0.66,1.91,0.01
PF00135,0.52,1.47,0.03,0.47,1.46,0.15
PF00136,1.00,,0.00,1.00,,0.00
PF00143,0.69,1.66,0.01,0.69,1.64,0.00
PF00146,1.00,,0.00,1.00,,0.00
PF00147,0.77,3.04,0.00,0.77,3.02,0.00
PF00149,0.34,0.15,0.09,0.24,-0.04,0.41
PF00151,1.00,,0.00,1.00,,0.00
PF00152,1.00,,0.00,1.00,,0.00
PF00153,0.38,0.85,0.06,0.37,0.75,0.11
PF00155,1.00,,0.00,1.00,,0.00
PF00167,0.69,2.01,0.02,0.68,1.94,0.02
PF00168,0.31,0.77,0.16,0.21,0.61,0.41
PF00169,0.30,0.46,0.14,0.21,0.33,0.39
PF00170,0.56,1.54,0.07,0.56,1.4,0.03
PF00171,1.00,,0.00,1.00,,0.00
PF00173,0.64,1.2,0.02,0.63,1.15,0.04
PF00175,1.00,,0.00,1.00,,0.00
PF00176,0.57,1.3,0.03,0.54,1.29,0.11
PF00179,0.57,1.4,0.03,0.57,1.35,0.03
PF00188,1.00,,0.00,1.00,,0.00
PF00191,0.48,1.38,0.01,0.48,1.36,0.01
PF00194,0.59,1.57,0.04,0.56,1.56,0.09
PF00201,0.71,2.96,0.01,0.70,2.96,0.01
PF00202,1.00,,0.00,1.00,,0.00
PF00206,0.58,0.2,0.03,0.58,0.2,0.06
PF00207,0.53,1.86,0.03,0.52,1.83,0.05
PF00209,0.74,2.68,0.01,0.74,2.66,0.01
PF00211,0.55,1.84,0.02,0.58,2.14,0.07
PF00213,1.00,,0.00,1.00,,0.00
PF00215,1.00,,0.00,1.00,,0.00
PF00217,1.00,,0.00,1.00,,0.00
PF00220,0.89,5.22,0.00,0.89,5.22,0.00
PF00224,1.00,,0.00,1.00,,0.00
PF00225,0.53,1.71,0.03,0.39,1.64,0.30
PF00226,0.66,2.62,0.04,0.64,2.56,0.08
PF00229,0.42,0.75,0.04,0.36,0.72,0.18
PF00230,0.74,2.61,0.01,0.74,2.63,0.02
PF00232,0.54,2.52,0.20,0.72,2.54,0.01
PF00236,1.00,,0.00,1.00,,0.00
PF00240,0.41,0.79,0.06,0.38,0.71,0.13
PF00245,1.00,,0.00,1.00,,0.00
PF00246,0.57,1.6,0.04,0.54,1.55,0.09
PF00249,0.43,1.27,0.06,0.43,0.98,0.06
PF00254,0.53,1.59,0.05,0.54,1.14,0.05
PF00255,0.70,,0.01,0.69,,0.03
PF00258,0.53,1.57,0.05,0.45,1.51,0.23
PF00261,1.00,,0.00,1.00,,0.00
PF00270,0.43,0.94,0.07,0.39,1.04,0.23
PF00271,0.40,1.15,0.08,0.31,1.04,0.28
PF00282,1.00,,0.00,1.00,,0.00
PF00287,1.00,,0.00,1.00,,0.00
PF00288,0.49,0.89,0.11,0.45,0.72,0.19
PF00289,1.00,,0.00,1.00,,0.00
