Pfam_code,HMMER_blosum,SEED_blosum,HMMER_vs_SEED_blosum_diff,HMMER_vs_SEED_blosum_%_improvement
PF00001,0.83,0.83,0.00,0.00
PF00002,1.28,1.26,0.02,1.59
PF00004,1.20,1.16,0.04,3.45
PF00007,1.78,1.70,0.08,4.71
PF00008,1.71,1.47,0.24,16.33
PF00009,0.89,0.82,0.07,8.54
PF00010,1.43,1.17,0.26,22.22
PF00012,1.24,1.23,0.01,0.81
PF00013,1.05,1.06,-0.01,-0.94
PF00014,2.49,2.42,0.07,2.89
PF00017,1.43,1.47,-0.04,-2.72
PF00018,1.68,1.68,0.00,0.00
PF00020,1.32,1.97,-0.65,-32.99
PF00021,0.32,0.60,-0.28,-46.67
PF00023,1.70,1.20,0.50,41.67
PF00024,1.17,1.08,0.09,8.33
PF00025,2.20,2.16,0.04,1.85
PF00026,1.96,1.96,0.00,0.00
PF00027,1.05,0.97,0.08,8.25
PF00028,0.59,0.40,0.19,47.50
PF00030,1.36,1.41,-0.05,-3.55
PF00031,0.82,0.73,0.09,12.33
PF00035,0.64,0.56,0.08,14.29
PF00038,1.99,1.99,0.00,0.00
PF00041,0.59,0.39,0.20,51.28
PF00043,0.44,0.44,0.00,0.00
PF00044,3.25,3.10,0.15,4.84
PF00045,1.06,0.94,0.12,12.77
PF00046,1.68,1.70,-0.02,-1.18
PF00047,0.36,0.14,0.22,157.14
PF00049,,,,
PF00050,,,,
PF00051,3.33,2.61,0.72,27.59
PF00052,0.87,0.98,-0.11,-11.22
PF00053,1.97,2.07,-0.10,-4.83
PF00054,0.82,0.71,0.11,15.49
PF00057,2.60,2.53,0.07,2.77
PF00058,1.37,0.54,0.83,153.70
PF00059,1.24,1.18,0.06,5.08
PF00060,0.72,1.10,-0.38,-34.55
PF00061,0.20,0.14,0.06,42.86
PF00062,,,,
PF00063,,,,
PF00067,0.52,0.48,0.04,8.33
PF00068,2.70,2.67,0.03,1.12
PF00069,0.99,0.96,0.03,3.13
PF00071,2.03,2.02,0.01,0.50
PF00074,,,,
PF00075,,,,
PF00076,1.04,0.93,0.11,11.83
PF00077,,,,
PF00078,,,,
PF00079,1.62,1.66,-0.04,-2.41
PF00081,,,,
PF00082,,,,
PF00083,,,,
PF00084,1.46,0.72,0.74,102.78
PF00086,2.20,1.37,0.83,60.58
PF00088,1.97,,,
PF00089,1.52,1.48,0.04,2.70
PF00090,2.18,2.05,0.13,6.34
PF00091,1.75,1.67,0.08,4.79
PF00092,0.99,0.91,0.08,8.79
PF00093,1.98,1.89,0.09,4.76
PF00094,0.94,0.76,0.18,23.68
PF00095,2.48,2.27,0.21,9.25
PF00096,2.53,1.85,0.68,36.76
PF00097,1.66,1.66,0.00,0.00
PF00098,3.46,2.09,1.37,65.55
PF00102,2.01,1.95,0.06,3.08
PF00103,3.95,3.72,0.23,6.18
PF00105,3.25,3.11,0.14,4.50
PF00106,0.94,1.01,-0.07,-6.93
PF00108,,,,
PF00109,,,,
PF00112,2.06,2.04,0.02,0.98
PF00117,1.31,1.27,0.04,3.15
PF00118,,,,
PF00120,,,,
PF00125,0.35,0.17,0.18,105.88
PF00129,2.87,2.86,0.01,0.35
PF00130,1.92,1.76,0.16,9.09
PF00133,,,,
PF00134,1.94,1.91,0.03,1.57
PF00135,1.44,1.46,-0.02,-1.37
PF00136,,,,
PF00143,1.66,1.64,0.02,1.22
PF00146,,,,
PF00147,3.02,3.02,0.00,0.00
PF00149,0.07,-0.04,0.11,275.00
PF00151,,,,
PF00152,,,,
PF00153,0.80,0.75,0.05,6.67
PF00155,,,,
PF00167,1.99,1.94,0.05,2.58
PF00168,0.72,0.61,0.11,18.03
PF00169,0.43,0.33,0.10,30.30
PF00170,1.53,1.40,0.13,9.29
PF00171,,,,
PF00173,1.20,1.15,0.05,4.35
PF00175,,,,
PF00176,1.28,1.29,-0.01,-0.78
PF00179,1.38,1.35,0.03,2.22
PF00188,,,,
PF00191,1.37,1.36,0.01,0.74
PF00194,1.56,1.56,0.00,0.00
PF00201,2.96,2.96,0.00,0.00
PF00202,,,,
PF00206,0.20,0.20,0.00,0.00
PF00207,1.86,1.83,0.03,1.64
PF00209,2.68,2.66,0.02,0.75
PF00211,1.81,2.14,-0.33,-15.42
PF00213,,,,
PF00215,,,,
PF00217,,,,
PF00220,5.22,5.22,0.00,0.00
PF00224,,,,
PF00225,1.69,1.64,0.05,3.05
PF00226,2.62,2.56,0.06,2.34
PF00229,0.73,0.72,0.01,1.39
PF00230,2.61,2.63,-0.02,-0.76
PF00232,2.46,2.54,-0.08,-3.15
PF00236,,,,
PF00240,0.78,0.71,0.07,9.86
PF00245,,,,
PF00246,1.59,1.55,0.04,2.58
PF00249,1.26,0.98,0.28,28.57
PF00254,1.58,1.14,0.44,38.60
PF00255,,,,
PF00258,1.57,1.51,0.06,3.97
PF00261,,,,
PF00270,0.89,1.04,-0.15,-14.42
PF00271,1.13,1.04,0.09,8.65
PF00282,,,,
PF00287,,,,
PF00288,0.89,0.72,0.17,23.61
PF00289,,,,
PF00292,3.99,3.99,0.00,0.00
PF00293,0.37,0.15,0.22,146.67
PF00297,,,,
PF00307,0.68,0.61,0.07,11.48
PF00313,1.74,,,
PF00320,1.45,1.32,0.13,9.85
PF00324,,,,
PF00328,3.93,3.94,-0.01,-0.25
PF00334,,,,
PF00335,0.83,0.89,-0.06,-6.74
PF00337,1.49,1.44,0.05,3.47
PF00340,0.43,0.37,0.06,16.22
PF00341,,,,
PF00342,,,,
PF00350,,,,
PF00354,2.84,2.84,0.00,0.00
PF00357,3.32,3.00,0.32,10.67
PF00364,1.61,1.57,0.04,2.55
PF00370,,,,
PF00373,1.02,0.99,0.03,3.03
PF00378,0.65,0.63,0.02,3.17
PF00382,0.06,0.01,0.05,500.00
PF00383,0.45,0.24,0.21,87.50
PF00384,,,,
PF00385,1.72,1.54,0.18,11.69
PF00386,1.12,1.13,-0.01,-0.88
PF00388,2.96,2.94,0.02,0.68
PF00389,1.00,,,
PF00390,3.80,3.80,0.00,0.00
PF00394,,,,
PF00396,3.32,3.29,0.03,0.91
PF00397,1.87,1.70,0.17,10.00
PF00400,1.12,0.70,0.42,60.00
PF00405,2.44,2.69,-0.25,-9.29
PF00406,-2.00,,,
PF00412,1.38,1.26,0.12,9.52
PF00413,2.72,2.73,-0.01,-0.37
PF00415,1.93,0.67,1.26,188.06
PF00420,,,,
PF00431,1.51,1.49,0.02,1.34
PF00432,1.31,0.65,0.66,101.54
PF00435,0.61,0.57,0.04,7.02
PF00439,1.27,0.60,0.67,111.67
PF00443,0.47,0.70,-0.23,-32.86
PF00447,,,,
PF00448,,,,
PF00450,,,,
PF00454,2.13,2.11,0.02,0.95
PF00459,,,,
PF00462,3.92,3.85,0.07,1.82
PF00464,3.76,3.76,0.00,0.00
PF00467,1.04,0.75,0.29,38.67
PF00473,,,,
PF00474,3.80,3.79,0.01,0.26
PF00481,0.66,0.59,0.07,11.86
PF00487,,,,
PF00488,,,,
PF00491,,,,
PF00498,0.65,0.63,0.02,3.17
PF00501,0.91,1.26,-0.35,-27.78
PF00503,2.58,2.55,0.03,1.18
PF00505,1.27,1.22,0.05,4.10
PF00514,0.80,0.56,0.24,42.86
PF00515,1.23,0.82,0.41,50.00
PF00520,0.95,0.68,0.27,39.71
PF00530,2.02,1.70,0.32,18.82
PF00531,0.68,0.56,0.12,21.43
PF00533,0.43,0.27,0.16,59.26
PF00535,0.41,0.20,0.21,105.00
PF00536,1.00,0.92,0.08,8.70
PF00554,,,,
PF00560,1.52,0.28,1.24,442.86
PF00561,-0.35,-0.37,0.02,5.41
PF00564,0.72,0.66,0.06,9.09
PF00567,0.66,0.64,0.02,3.13
PF00568,0.36,0.33,0.03,9.09
PF00571,1.10,0.33,0.77,233.33
PF00573,,,,
PF00579,,,,
PF00583,0.14,-0.17,0.31,182.35
PF00587,,,,
PF00588,,,,
PF00591,,,,
PF00595,0.90,0.86,0.04,4.65
PF00596,,,,
PF00607,,,,
PF00609,2.01,1.99,0.02,1.01
PF00610,1.29,0.88,0.41,46.59
PF00612,1.59,1.21,0.38,31.40
PF00613,1.12,1.02,0.10,9.80
PF00615,1.22,1.23,-0.01,-0.81
PF00616,,,,
PF00618,0.44,0.19,0.25,131.58
PF00619,0.60,0.49,0.11,22.45
PF00620,1.21,1.18,0.03,2.54
PF00621,0.94,0.89,0.05,5.62
PF00622,0.63,0.66,-0.03,-4.55
PF00623,2.17,2.19,-0.02,-0.91
PF00625,0.40,0.37,0.03,8.11
PF00626,0.62,0.53,0.09,16.98
PF00627,1.14,1.02,0.12,11.76
PF00628,2.15,1.93,0.22,11.40
PF00629,0.97,0.95,0.02,2.11
PF00630,1.58,0.99,0.59,59.60
PF00631,1.87,1.71,0.16,9.36
PF00632,1.68,1.54,0.14,9.09
PF00633,,,,
PF00634,1.48,,,
PF00635,1.19,0.91,0.28,30.77
PF00637,0.36,-0.39,0.75,192.31
PF00638,2.93,2.88,0.05,1.74
PF00640,1.15,1.29,-0.14,-10.85
PF00641,2.57,2.21,0.36,16.29
PF00642,2.11,1.55,0.56,36.13
PF00643,1.76,1.65,0.11,6.67
PF00644,0.54,0.54,0.00,0.00
PF00646,0.71,0.69,0.02,2.90
PF00650,,,,
PF00651,1.19,1.11,0.08,7.21
PF00652,0.82,0.81,0.01,1.23
PF00653,2.05,,,
PF00656,1.16,1.18,-0.02,-1.69
PF00657,,,,
PF00664,0.77,-0.02,0.79,3950.00
PF00665,,,,
PF00666,,,,
PF00667,3.00,2.95,0.05,1.69
PF00670,,,,
PF00675,0.49,0.49,0.00,0.00
PF00676,0.26,0.25,0.01,4.00
PF00679,,,,
PF00681,2.48,1.26,1.22,96.83
PF00682,,,,
PF00685,1.19,1.14,0.05,4.39
PF00689,,,,
PF00692,,,,
PF00694,,,,
PF00698,,,,
PF00702,0.48,0.34,0.14,41.18
PF00704,2.84,2.99,-0.15,-5.02
PF00705,,,,
PF00725,1.04,1.40,-0.36,-25.71
PF00730,0.42,0.54,-0.12,-22.22
PF00733,-3.00,,,
PF00743,2.90,2.88,0.02,0.69
PF00749,1.95,1.93,0.02,1.04
PF00750,,,,
PF00752,1.82,1.75,0.07,4.00
PF00754,1.76,1.68,0.08,4.76
PF00755,1.08,1.14,-0.06,-5.26
PF00756,,,,
PF00757,2.86,3.01,-0.15,-4.98
PF00780,0.29,0.33,-0.04,-12.12
PF00781,1.45,1.14,0.31,27.19
PF00782,2.17,2.17,0.00,0.00
PF00786,1.06,0.89,0.17,19.10
PF00787,0.94,0.88,0.06,6.82
PF00788,0.27,0.20,0.07,35.00
PF00789,0.86,0.81,0.05,6.17
PF00790,2.07,2.04,0.03,1.47
PF00792,1.14,1.07,0.07,6.54
PF00794,0.96,0.90,0.06,6.67
PF00797,,,,
PF00801,0.73,0.53,0.20,37.74
PF00808,,,,
PF00811,,,,
PF00822,1.35,1.33,0.02,1.50
PF00837,,,,
PF00839,1.07,0.84,0.23,27.38
PF00850,,,,
PF00852,5.29,5.26,0.03,0.57
PF00854,-0.69,,,
PF00856,0.26,-0.37,0.63,170.27
PF00865,,,,
PF00867,1.65,1.70,-0.05,-2.94
PF00870,3.30,3.28,0.02,0.61
PF00878,1.18,1.32,-0.14,-10.61
PF00879,,,,
PF00880,1.41,1.11,0.30,27.03
PF00884,1.36,1.52,-0.16,-10.53
PF00887,,,,
PF00891,,,,
PF00899,0.59,0.38,0.21,55.26
PF00903,,,,
PF00909,,,,
PF00916,1.88,1.88,0.00,0.00
PF00927,0.45,0.36,0.09,25.00
PF00928,0.28,0.36,-0.08,-22.22
PF00929,,,,
PF00930,0.54,0.51,0.03,5.88
PF00931,,,,
PF00932,,,,
PF00939,,,,
PF00941,,,,
PF00957,1.85,1.79,0.06,3.35
PF00965,,,,
PF00969,3.50,3.34,0.16,4.79
PF00970,3.44,3.39,0.05,1.47
PF00975,,,,
PF00989,1.02,0.93,0.09,9.68
PF00997,,,,
PF00999,2.09,1.95,0.14,7.18
PF01008,,,,
PF01019,1.49,1.44,0.05,3.47
PF01023,,,,
PF01026,,,,
PF01030,1.49,1.48,0.01,0.68
PF01039,1.91,1.90,0.01,0.53
PF01044,,,,
PF01049,,,,
PF01053,,,,
PF01064,1.54,1.72,-0.18,-10.47
PF01068,1.18,1.21,-0.03,-2.48
PF01071,,,,
PF01073,,,,
PF01074,1.47,1.45,0.02,1.38
PF01079,,,,
PF01093,0.95,1.02,-0.07,-6.86
PF01094,0.61,0.65,-0.04,-6.15
PF01099,1.12,1.13,-0.01,-0.88
PF01102,,,,
PF01105,2.25,2.28,-0.03,-1.32
PF01108,0.83,0.81,0.02,2.47
PF01109,,,,
PF01110,,,,
PF01112,,,,
PF01114,,,,
PF01119,,,,
PF01122,,,,
PF01124,,,,
PF01126,,,,
PF01129,1.54,1.54,0.00,0.00
PF01144,-0.13,-0.15,0.02,13.33
PF01148,,,,
PF01150,,,,
PF01151,0.99,0.93,0.06,6.45
PF01153,,,,
PF01163,1.55,1.47,0.08,5.44
PF01166,,,,
PF01167,,,,
PF01182,,,,
PF01187,,,,
PF01189,,,,
PF01202,,,,
PF01204,,,,
PF01213,,,,
PF01216,,,,
PF01217,,,,
PF01230,,,,
PF01231,,,,
PF01234,1.81,1.87,-0.06,-3.21
PF01238,,,,
PF01244,,,,
PF01248,0.83,0.57,0.26,45.61
PF01254,,,,
PF01271,0.46,0.61,-0.15,-24.59
PF01273,0.43,0.44,-0.01,-2.27
PF01284,0.56,0.51,0.05,9.80
PF01287,,,,
PF01291,,,,
PF01299,,,,
PF01323,,,,
PF01331,,,,
PF01344,1.54,1.29,0.25,19.38
PF01347,,,,
PF01352,2.13,,,
PF01363,2.56,2.38,0.18,7.56
PF01380,-0.21,-0.13,-0.08,-61.54
PF01387,,,,
PF01390,3.02,1.03,1.99,193.20
PF01391,2.19,2.09,0.10,4.78
PF01394,-0.19,-0.31,0.12,38.71
PF01396,,,,
PF01398,0.40,0.30,0.10,33.33
PF01399,0.44,0.30,0.14,46.67
PF01400,2.10,2.08,0.02,0.96
PF01401,3.10,3.09,0.01,0.32
PF01410,4.55,4.56,-0.01,-0.22
PF01411,,,,
PF01412,1.27,1.22,0.05,4.10
PF01417,,,,
PF01421,1.61,1.62,-0.01,-0.62
PF01425,,,,
PF01426,0.44,0.10,0.34,340.00
PF01429,1.22,1.16,0.06,5.17
PF01431,,,,
PF01432,,,,
PF01433,2.61,2.61,0.00,0.00
PF01434,,,,
PF01435,,,,
PF01436,1.40,0.98,0.42,42.86
PF01437,1.78,1.48,0.30,20.27
PF01442,0.21,,,
PF01451,,,,
PF01459,,,,
PF01462,1.44,1.36,0.08,5.88
PF01463,1.15,0.89,0.26,29.21
PF01467,,,,
PF01471,1.15,1.11,0.04,3.60
PF01472,,,,
PF01477,0.82,0.78,0.04,5.13
PF01483,,,,
PF01485,,,,
PF01490,,,,
PF01496,,,,
PF01500,5.62,5.40,0.22,4.07
PF01510,2.14,2.06,0.08,3.88
PF01529,,,,
PF01531,,,,
PF01532,2.00,2.05,-0.05,-2.44
PF01535,0.95,0.74,0.21,28.38
PF01551,,,,
PF01553,1.00,0.95,0.05,5.26
PF01562,,,,
PF01564,0.84,0.83,0.01,1.20
PF01575,,,,
PF01582,0.94,0.85,0.09,10.59
PF01583,,,,
PF01585,1.86,1.71,0.15,8.77
PF01588,3.45,3.39,0.06,1.77
PF01590,0.42,0.29,0.13,44.83
PF01591,,,,
PF01593,,,,
PF01602,0.90,0.88,0.02,2.27
PF01612,,,,
PF01624,0.02,-0.08,0.10,125.00
PF01630,,,,
PF01650,,,,
PF01661,0.93,1.06,-0.13,-12.26
PF01663,2.23,2.25,-0.02,-0.89
PF01667,,,,
PF01694,0.84,0.76,0.08,10.53
PF01699,0.31,0.17,0.14,82.35
PF01712,2.26,2.22,0.04,1.80
PF01729,,,,
PF01731,4.07,4.07,0.00,0.00
PF01733,2.17,2.20,-0.03,-1.36
PF01740,1.53,1.27,0.26,20.47
PF01751,,,,
PF01753,2.50,2.49,0.01,0.40
PF01755,,,,
PF01756,,,,
PF01758,1.39,1.35,0.04,2.96
PF01759,0.50,0.46,0.04,8.70
PF01762,,,,
PF01770,2.31,2.29,0.02,0.87
PF01812,,,,
PF01822,1.35,1.22,0.13,10.66
PF01823,,,,
PF01825,,,,
PF01826,2.38,2.49,-0.11,-4.42
PF01833,0.78,0.34,0.44,129.41
PF01835,2.22,2.19,0.03,1.37
PF01839,2.28,2.35,-0.07,-2.98
PF01842,,,,
PF01846,1.17,1.21,-0.04,-3.31
PF01852,0.53,0.41,0.12,29.27
PF01878,,,,
PF01896,,,,
PF01909,0.73,0.23,0.50,217.39
PF01920,0.29,0.26,0.03,11.54
PF01926,1.14,0.90,0.24,26.67
PF01963,,,,
PF01966,,,,
PF01991,,,,
PF02002,,,,
PF02005,,,,
PF02022,,,,
PF02023,0.87,0.69,0.18,26.09
PF02024,,,,
PF02037,2.46,2.41,0.05,2.07
PF02038,2.09,1.85,0.24,12.97
PF02055,,,,
PF02058,2.23,2.23,0.00,0.00
PF02063,,,,
PF02077,,,,
PF02083,,,,
PF02101,,,,
PF02106,,,,
PF02136,,,,
PF02140,,,,
PF02141,1.71,1.67,0.04,2.40
PF02142,-0.20,-0.26,0.06,23.08
PF02148,2.07,1.90,0.17,8.95
PF02171,,,,
PF02172,,,,
PF02173,,,,
PF02174,2.28,2.14,0.14,6.54
PF02176,1.52,1.52,0.00,0.00
PF02181,1.18,1.16,0.02,1.72
PF02197,1.72,1.55,0.17,10.97
PF02198,1.29,1.21,0.08,6.61
PF02204,,,,
