Pfam_code,mean_%conservation,blosum62_global_mean,perc_gaps
PF00001,0.37,0.88,0.04
PF00002,0.46,1.29,0.05
PF00004,0.47,1.24,0.05
PF00007,0.62,1.78,0.05
PF00008,0.49,1.71,0.09
PF00009,0.53,0.9,0.06
PF00010,0.45,1.43,0.07
PF00012,0.65,1.25,0.01
PF00013,0.37,1.08,0.1
PF00014,0.55,2.49,0.01
PF00017,0.46,1.44,0.02
PF00018,0.44,1.69,0.05
PF00020,0.56,1.34,0.05
PF00021,0.36,0.37,0.11
PF00023,0.45,1.71,0.14
PF00024,0.46,1.27,0.05
PF00025,0.63,2.21,0.02
PF00026,0.68,2.01,0.01
PF00027,0.52,1.09,0.05
PF00028,0.37,0.61,0.06
PF00030,0.43,1.37,0.06
PF00031,0.46,0.81,0.03
PF00035,0.44,0.65,0.04
PF00038,0.58,1.99,0.01
PF00041,0.3,0.72,0.14
PF00043,0.44,0.45,0.06
PF00044,0.77,3.21,0.02
PF00045,0.39,1.07,0.08
PF00046,0.52,1.68,0.01
PF00047,0.34,0.38,0.09
PF00049,1.0,,0.0
PF00050,1.0,,0.0
PF00051,0.69,3.33,0.01
PF00052,0.6,0.9,0.04
PF00053,0.42,2.04,0.13
PF00054,0.4,0.84,0.04
PF00057,0.55,2.64,0.06
PF00058,0.44,1.38,0.04
PF00059,0.39,1.28,0.07
PF00060,0.54,1.41,0.02
PF00061,0.31,0.21,0.1
PF00062,1.0,,0.0
PF00063,1.0,,0.0
PF00067,0.4,0.52,0.04
PF00068,0.67,2.71,0.04
PF00069,0.47,1.0,0.05
PF00071,0.6,2.05,0.0
PF00074,1.0,,0.0
PF00075,1.0,,0.0
PF00076,0.39,1.04,0.08
PF00077,1.0,,0.0
PF00078,1.0,,0.0
PF00079,0.53,1.66,0.02
PF00081,1.0,,0.0
PF00082,1.0,,0.0
PF00083,1.0,,0.0
PF00084,0.43,1.48,0.04
PF00086,0.37,2.36,0.32
PF00088,0.62,1.87,0.06
PF00089,0.48,1.57,0.04
PF00090,0.52,2.2,0.04
PF00091,0.7,1.91,0.01
PF00092,0.38,1.01,0.06
PF00093,0.51,2.01,0.04
PF00094,0.39,0.95,0.05
