pfam_id,fasta_seqs,sto_lines
PF00001,293,2358
PF00002,49,305
PF00003,22,96
PF00004,53,220
PF00005,80,328
PF00006,5,28
PF00007,14,33
PF00008,254,513
PF00009,20,131
PF00010,103,211
PF00011,10,25
PF00012,17,187
PF00013,84,173
PF00014,27,59
PF00017,109,223
PF00018,133,271
PF00019,37,79
PF00020,43,91
PF00021,31,67
PF00022,35,294
PF00023,131,267
PF00024,14,33
PF00025,31,132
PF00026,10,48
PF00027,43,91
PF00028,695,2788
PF00029,22,96
PF00030,40,85
PF00031,21,47
PF00032,1,7
PF00033,1,7
PF00034,1,7
PF00035,33,71
PF00036,14,33
PF00037,1,7
PF00038,74,304
PF00039,13,31
PF00040,20,45
PF00041,610,2448
PF00042,12,29
PF00043,17,39
PF00044,2,9
PF00045,85,175
PF00046,245,495
PF00047,94,193
PF00048,44,93
PF00049,10,25
PF00050,22,49
PF00051,47,99
PF00052,12,29
PF00053,176,357
PF00054,21,47
PF00055,16,72
PF00056,8,21
PF00057,208,421
PF00058,110,225
PF00059,114,464
PF00060,18,80
PF00061,33,71
PF00062,8,21
PF00063,42,437
PF00066,15,35
PF00067,62,510
PF00068,10,25
PF00069,365,2934
PF00071,136,552
PF00074,15,35
PF00075,10,25
PF00076,325,655
PF00077,13,31
PF00078,11,52
PF00079,39,245
PF00080,3,11
PF00081,1,7
PF00082,11,77
PF00083,40,334
PF00084,322,649
PF00085,44,93
PF00086,29,63
PF00087,7,19
PF00088,13,31
PF00089,125,508
PF00090,117,239
PF00091,24,104
PF00092,91,372
PF00093,40,85
PF00094,59,244
PF00095,23,51
PF00096,5522,11049
PF00097,37,79
PF00098,42,89
PF00100,16,37
PF00102,50,208
PF00103,6,32
PF00104,48,200
PF00105,46,97
PF00106,45,188
PF00107,15,35
PF00108,6,32
PF00109,2,16
PF00110,19,84
PF00111,4,13
PF00112,13,60
PF00113,4,24
PF00115,1,17
PF00116,1,7
PF00117,5,28
PF00118,16,142
PF00119,1,12
PF00120,2,16
PF00121,1,12
PF00122,30,128
PF00123,10,25
PF00125,47,99
PF00128,8,59
PF00129,19,43
PF00130,68,141
PF00131,14,33
PF00133,9,86
PF00134,34,144
PF00135,15,134
PF00136,3,29
PF00137,7,19
PF00143,17,39
PF00144,2,23
PF00145,4,35
PF00146,1,12
PF00147,24,104
PF00149,28,179
PF00151,10,48
PF00152,6,47
PF00153,155,315
PF00155,17,113
PF00156,5,15
PF00157,17,39
PF00159,4,13
PF00160,24,53
PF00162,2,23
PF00163,2,9
PF00164,2,9
PF00166,1,7
PF00167,22,49
PF00168,220,888
PF00169,193,780
PF00170,28,61
PF00171,20,131
PF00173,15,35
PF00174,1,7
PF00175,12,29
PF00176,33,347
PF00177,2,9
PF00178,29,63
PF00179,40,168
PF00180,5,41
PF00181,2,9
PF00183,15,101
PF00184,2,9
PF00185,2,9
PF00186,2,9
PF00188,15,35
PF00189,1,7
PF00191,60,125
PF00193,24,53
PF00194,18,80
PF00198,4,24
PF00199,1,12
PF00200,20,45
PF00201,23,149
PF00202,5,41
PF00203,1,7
PF00204,2,9
PF00205,2,9
PF00206,3,20
PF00207,11,27
PF00208,2,16
PF00209,19,166
PF00210,5,15
PF00211,29,124
PF00212,3,11
PF00213,1,7
PF00214,5,15
PF00215,1,12
PF00217,4,24
PF00219,19,43
PF00220,2,9
PF00221,1,17
PF00224,2,16
PF00225,46,382
PF00226,44,93
PF00227,19,84
