Pfam_code,HMMER_conservation,FULL_conservation,HMMER_vs_FULL_conservation_diff,HMMER_vs_FULL_conservation_%_improvement
PF00001,0.31,0.31,0.00,0.00
PF00002,0.38,0.38,0.00,0.00
PF00003,0.42,0.42,0.00,0.00
PF00004,0.43,0.43,0.00,0.00
PF00005,0.42,0.42,0.00,0.00
PF00006,0.58,0.57,0.01,1.75
PF00007,0.49,0.49,0.00,0.00
PF00008,0.49,0.50,-0.01,-2.00
PF00009,0.42,0.42,0.00,0.00
PF00010,0.44,0.44,0.00,0.00
PF00011,0.44,0.45,-0.01,-2.22
PF00012,0.52,0.50,0.02,4.00
PF00013,0.38,0.38,0.00,0.00
PF00014,0.51,0.51,0.00,0.00
PF00017,0.41,0.41,0.00,0.00
PF00018,0.41,0.41,0.00,0.00
PF00019,0.48,0.49,-0.01,-2.04
PF00020,0.41,0.41,0.00,0.00
PF00021,0.31,0.35,-0.04,-11.43
PF00022,0.49,0.55,-0.06,-10.91
PF00023,0.44,0.47,-0.03,-6.38
PF00024,0.41,0.40,0.01,2.50
PF00025,0.49,0.49,0.00,0.00
PF00026,0.60,0.60,0.00,0.00
PF00027,0.39,0.40,-0.01,-2.50
PF00028,0.38,0.38,0.00,0.00
PF00029,0.52,0.49,0.03,6.12
PF00030,0.46,0.46,0.00,0.00
PF00031,0.40,0.40,0.00,0.00
PF00032,1.00,1.00,0.00,0.00
PF00033,1.00,1.00,0.00,0.00
PF00034,1.00,1.00,0.00,0.00
PF00035,0.41,0.41,0.00,0.00
PF00036,0.48,0.47,0.01,2.13
PF00037,1.00,1.00,0.00,0.00
PF00038,0.49,0.49,0.00,0.00
PF00039,0.50,0.50,0.00,0.00
PF00040,0.57,0.58,-0.01,-1.72
PF00041,0.33,0.33,0.00,0.00
PF00042,0.57,0.57,0.00,0.00
PF00043,0.36,0.36,0.00,0.00
PF00044,0.77,0.77,0.00,0.00
PF00045,0.39,0.40,-0.01,-2.50
PF00046,0.49,0.50,-0.01,-2.00
PF00047,0.37,0.37,0.00,0.00
PF00048,0.42,0.42,0.00,0.00
PF00049,0.40,0.38,0.02,5.26
PF00050,0.45,0.45,0.00,0.00
PF00051,0.60,0.71,-0.11,-15.49
PF00052,0.44,0.45,-0.01,-2.22
PF00053,0.40,0.40,0.00,0.00
PF00054,0.40,0.39,0.01,2.56
PF00055,0.46,0.47,-0.01,-2.13
