Pfam_code,HMMER_conservation,FULL_conservation,HMMER_vs_FULL_conservation_diff,HMMER_vs_FULL_conservation_%_improvement
PF00001,0.12,0.10,0.02,20.00
PF00002,0.23,0.19,0.04,21.05
PF00003,0.35,0.31,0.04,12.90
PF00004,0.26,0.22,0.04,18.18
PF00005,0.26,0.26,0.00,0.00
PF00006,0.54,0.54,0.00,0.00
PF00007,0.41,0.40,0.01,2.50
PF00008,0.22,0.19,0.03,15.79
PF00009,0.22,0.19,0.03,15.79
PF00010,0.32,0.33,-0.01,-3.03
PF00011,0.40,0.40,0.00,0.00
PF00012,0.41,0.38,0.03,7.89
PF00013,0.29,0.23,0.06,26.09
PF00014,0.45,0.41,0.04,9.76
PF00017,0.23,0.19,0.04,21.05
PF00018,0.24,0.23,0.01,4.35
PF00019,0.41,0.40,0.01,2.50
PF00020,0.30,0.24,0.06,25.00
PF00021,0.24,0.25,-0.01,-4.00
PF00022,0.34,0.27,0.07,25.93
PF00023,0.34,0.20,0.14,70.00
PF00024,0.33,0.32,0.01,3.13
PF00025,0.38,0.37,0.01,2.70
PF00026,0.52,0.52,0.00,0.00
PF00027,0.28,0.28,0.00,0.00
PF00028,0.18,0.16,0.02,12.50
PF00029,0.39,0.35,0.04,11.43
PF00030,0.36,0.26,0.10,38.46
PF00031,0.33,0.30,0.03,10.00
PF00032,,,,
PF00033,,,,
PF00034,,,,
PF00035,0.31,0.30,0.01,3.33
PF00036,0.45,0.43,0.02,4.65
PF00037,,,,
PF00038,0.40,0.39,0.01,2.56
PF00039,0.49,0.43,0.06,13.95
PF00040,0.57,0.58,-0.01,-1.72
PF00041,0.14,0.15,-0.01,-6.67
PF00042,0.54,0.55,-0.01,-1.82
PF00043,0.32,0.25,0.07,28.00
PF00044,0.77,0.76,0.01,1.32
PF00045,0.29,0.24,0.05,20.83
PF00046,0.34,0.32,0.02,6.25
PF00047,0.25,0.25,0.00,0.00
PF00048,0.34,0.33,0.01,3.03
PF00049,0.27,0.20,0.07,35.00
PF00050,0.35,0.29,0.06,20.69
PF00051,0.49,0.36,0.13,36.11
PF00052,0.38,0.38,0.00,0.00
PF00053,0.19,0.18,0.01,5.56
PF00054,0.31,0.30,0.01,3.33
PF00055,0.37,0.35,0.02,5.71
PF00056,0.60,0.59,0.01,1.69
PF00057,0.33,0.28,0.05,17.86
PF00058,0.31,0.27,0.04,14.81
PF00059,0.19,0.18,0.01,5.56
PF00060,0.43,0.43,0.00,0.00
PF00061,0.26,0.25,0.01,4.00
PF00062,0.57,0.57,0.00,0.00
PF00063,0.38,0.35,0.03,8.57
PF00066,0.48,0.45,0.03,6.67
PF00067,0.27,0.27,0.00,0.00
PF00068,0.46,0.47,-0.01,-2.13
PF00069,0.13,0.13,0.00,0.00
PF00071,0.24,0.22,0.02,9.09
PF00074,0.36,0.33,0.03,9.09
PF00075,0.78,0.78,0.00,0.00
PF00076,0.19,0.17,0.02,11.76
PF00077,0.99,0.99,0.00,0.00
PF00078,0.61,0.61,0.00,0.00
PF00079,0.35,0.34,0.01,2.94
