Pfam_code,HMMER_blosum,SEED_blosum,HMMER_vs_SEED_blosum_diff,HMMER_vs_SEED_blosum_%_improvement
PF00001,0.88,0.83,0.05,6.02
PF00002,1.29,1.26,0.03,2.38
PF00004,1.24,1.16,0.08,6.90
PF00007,1.78,1.70,0.08,4.71
PF00008,1.71,1.47,0.24,16.33
PF00009,0.90,0.82,0.08,9.76
PF00010,1.43,1.17,0.26,22.22
PF00012,1.25,1.23,0.02,1.63
PF00013,1.08,1.06,0.02,1.89
PF00014,2.49,2.42,0.07,2.89
PF00017,1.44,1.47,-0.03,-2.04
PF00018,1.69,1.68,0.01,0.60
PF00020,1.34,1.97,-0.63,-31.98
PF00021,0.37,0.60,-0.23,-38.33
PF00023,1.71,1.20,0.51,42.50
PF00024,1.27,1.08,0.19,17.59
PF00025,2.21,2.16,0.05,2.31
PF00026,2.01,1.96,0.05,2.55
PF00027,1.09,0.97,0.12,12.37
PF00028,0.61,0.40,0.21,52.50
PF00030,1.37,1.41,-0.04,-2.84
PF00031,0.81,0.73,0.08,10.96
PF00035,0.65,0.56,0.09,16.07
PF00038,1.99,1.99,0.00,0.00
PF00041,0.72,0.39,0.33,84.62
PF00043,0.45,0.44,0.01,2.27
PF00044,3.21,3.10,0.11,3.55
PF00045,1.07,0.94,0.13,13.83
PF00046,1.68,1.70,-0.02,-1.18
PF00047,0.38,0.14,0.24,171.43
PF00049,,,,
PF00050,,,,
PF00051,3.33,2.61,0.72,27.59
PF00052,0.90,0.98,-0.08,-8.16
PF00053,2.04,2.07,-0.03,-1.45
PF00054,0.84,0.71,0.13,18.31
PF00057,2.64,2.53,0.11,4.35
PF00058,1.38,0.54,0.84,155.56
PF00059,1.28,1.18,0.10,8.47
PF00060,1.41,1.10,0.31,28.18
PF00061,0.21,0.14,0.07,50.00
PF00062,,,,
PF00063,,,,
PF00067,0.52,0.48,0.04,8.33
PF00068,2.71,2.67,0.04,1.50
PF00069,1.00,0.96,0.04,4.17
PF00071,2.05,2.02,0.03,1.49
PF00074,,,,
PF00075,,,,
PF00076,1.04,0.93,0.11,11.83
PF00077,,,,
PF00078,,,,
PF00079,1.66,1.66,0.00,0.00
PF00081,,,,
PF00082,,,,
PF00083,,,,
PF00084,1.48,0.72,0.76,105.56
PF00086,2.36,1.37,0.99,72.26
PF00088,1.87,,,
PF00089,1.57,1.48,0.09,6.08
PF00090,2.20,2.05,0.15,7.32
PF00091,1.91,1.67,0.24,14.37
PF00092,1.01,0.91,0.10,10.99
PF00093,2.01,1.89,0.12,6.35
PF00094,0.95,0.76,0.19,25.00
PF00095,2.56,2.27,0.29,12.78
PF00096,2.53,1.85,0.68,36.76
PF00097,1.66,1.66,0.00,0.00
PF00098,3.46,2.09,1.37,65.55
PF00102,2.02,1.95,0.07,3.59
PF00103,3.92,3.72,0.20,5.38
PF00105,3.25,3.11,0.14,4.50
PF00106,0.96,1.01,-0.05,-4.95
PF00108,,,,
PF00109,,,,
PF00112,2.07,2.04,0.03,1.47
PF00117,1.33,1.27,0.06,4.72
PF00118,,,,
PF00120,,,,
PF00125,0.35,0.17,0.18,105.88
PF00129,2.87,2.86,0.01,0.35
