Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,FULL_conservation,FULL_blosum,FULL_gaps
PF00001,0.31,0.69,0.07,0.31,0.7,0.08
PF00002,0.38,1.06,0.07,0.38,1.04,0.06
PF00003,0.42,0.95,0.04,0.42,1.01,0.04
PF00004,0.43,1.4,0.09,0.43,1.37,0.08
PF00005,0.42,1.29,0.06,0.42,1.28,0.06
PF00006,0.58,1.45,0.00,0.57,1.45,0.01
PF00007,0.49,1.68,0.12,0.49,1.6,0.10
PF00008,0.49,2.59,0.07,0.50,2.57,0.06
PF00009,0.42,1.23,0.08,0.42,1.21,0.10
PF00010,0.44,1.41,0.05,0.44,1.38,0.06
PF00011,0.44,1.83,0.20,0.45,1.72,0.17
PF00012,0.52,2.39,0.20,0.50,2.33,0.23
PF00013,0.38,1.2,0.09,0.38,1.15,0.07
PF00014,0.51,2.31,0.04,0.51,2.3,0.03
PF00017,0.41,1.31,0.05,0.41,1.27,0.04
PF00018,0.41,1.66,0.07,0.41,1.64,0.06
PF00019,0.48,2.03,0.06,0.49,2.04,0.04
PF00020,0.41,1.45,0.02,0.41,1.5,0.03
PF00021,0.31,0.61,0.14,0.35,0.87,0.08
PF00022,0.49,2.31,0.21,0.55,2.27,0.11
PF00023,0.44,1.61,0.13,0.47,1.73,0.11
PF00024,0.41,1.03,0.06,0.40,1.0,0.08
PF00025,0.49,1.88,0.07,0.49,1.83,0.05
PF00026,0.60,2.27,0.02,0.60,2.26,0.02
PF00027,0.39,1.14,0.09,0.40,1.1,0.07
PF00028,0.38,1.03,0.08,0.38,1.01,0.06
PF00029,0.52,2.34,0.09,0.49,2.32,0.14
PF00030,0.46,1.68,0.04,0.46,1.67,0.03
PF00031,0.40,1.05,0.09,0.40,1.02,0.07
PF00032,1.00,,0.00,1.00,,0.00
PF00033,1.00,,0.00,1.00,,0.00
PF00034,1.00,,0.00,1.00,,0.00
PF00035,0.41,1.17,0.10,0.41,1.07,0.09
PF00036,0.48,2.11,0.14,0.47,1.98,0.11
PF00037,1.00,,0.00,1.00,,0.00
PF00038,0.49,1.78,0.05,0.49,1.78,0.05
PF00039,0.50,2.35,0.06,0.50,2.35,0.06
PF00040,0.57,2.85,0.02,0.58,2.94,0.02
PF00041,0.33,0.91,0.13,0.33,0.7,0.08
PF00042,0.57,2.04,0.06,0.57,2.01,0.05
PF00043,0.36,0.74,0.17,0.36,0.7,0.16
PF00044,0.77,3.21,0.02,0.77,3.12,0.02
PF00045,0.39,1.19,0.09,0.40,1.18,0.07
PF00046,0.49,1.8,0.03,0.50,1.79,0.03
PF00047,0.37,0.86,0.12,0.37,0.78,0.10
PF00048,0.42,1.59,0.06,0.42,1.57,0.05
PF00049,0.40,1.4,0.19,0.38,1.39,0.23
PF00050,0.45,2.26,0.16,0.45,2.11,0.14
PF00051,0.60,2.84,0.04,0.71,3.48,0.03
PF00052,0.44,1.15,0.04,0.45,1.13,0.03
PF00053,0.40,2.14,0.14,0.40,2.04,0.12
PF00054,0.40,0.91,0.04,0.39,0.89,0.03
PF00055,0.46,1.57,0.05,0.47,1.58,0.05
PF00056,0.64,2.17,0.02,0.64,2.17,0.02
PF00057,0.53,2.68,0.05,0.53,2.64,0.04
PF00058,0.45,1.66,0.04,0.45,1.64,0.04
PF00059,0.33,1.08,0.08,0.32,1.05,0.09
PF00060,0.54,2.05,0.02,0.54,2.02,0.02
PF00061,0.31,0.4,0.14,0.31,0.37,0.13
PF00062,0.61,2.7,0.03,0.61,2.69,0.02
PF00063,0.49,2.0,0.10,0.49,2.01,0.11
PF00066,0.52,2.61,0.08,0.52,2.54,0.06
PF00067,0.34,0.83,0.11,0.35,0.79,0.10
PF00068,0.51,2.14,0.04,0.51,2.1,0.04
PF00069,0.36,1.11,0.10,0.36,1.09,0.09
PF00071,0.45,1.48,0.02,0.45,1.47,0.02
PF00074,0.40,1.22,0.11,0.40,1.19,0.09
PF00075,0.80,4.03,0.12,0.81,4.02,0.11
PF00076,0.36,1.11,0.10,0.36,1.07,0.08
PF00077,0.99,5.23,0.00,0.99,5.21,0.00
PF00078,0.76,4.26,0.17,0.70,4.25,0.24
PF00079,0.43,1.45,0.08,0.43,1.43,0.07
PF00080,0.65,2.32,0.04,0.65,2.36,0.04
PF00081,1.00,,0.00,1.00,,0.00
PF00082,0.48,1.68,0.15,0.49,1.69,0.14
PF00083,0.29,0.84,0.29,0.29,0.78,0.28
PF00084,0.37,1.47,0.07,0.38,1.41,0.05
PF00085,0.37,1.31,0.12,0.38,1.26,0.09
PF00086,0.41,2.15,0.18,0.41,1.99,0.14
PF00087,0.65,1.5,0.01,0.61,0.97,0.03
PF00088,0.48,2.24,0.07,0.49,2.25,0.06
PF00089,0.45,1.67,0.05,0.45,1.66,0.05
PF00090,0.47,2.15,0.06,0.46,2.08,0.06
PF00091,0.67,3.16,0.02,0.67,3.14,0.02
PF00092,0.36,0.93,0.07,0.36,0.91,0.06
PF00093,0.45,2.12,0.04,0.45,2.1,0.04
PF00094,0.37,0.97,0.04,0.37,0.96,0.05
PF00095,0.48,2.4,0.06,0.46,2.32,0.07
PF00096,0.58,2.75,0.01,0.58,2.78,0.01
PF00097,0.48,2.15,0.02,0.47,2.12,0.03
PF00098,0.60,3.75,0.09,0.60,3.51,0.07
PF00100,0.37,1.09,0.12,0.34,0.89,0.14
PF00102,0.50,1.97,0.03,0.50,1.97,0.04
PF00103,0.76,3.21,0.05,0.76,3.21,0.05
PF00104,0.33,0.94,0.19,0.33,0.94,0.18
PF00105,0.64,3.41,0.03,0.64,3.35,0.02
PF00106,0.37,0.93,0.10,0.37,0.92,0.09
PF00107,0.47,1.27,0.07,0.46,1.22,0.06
PF00108,0.51,1.2,0.04,0.51,1.18,0.04
PF00109,0.61,0.67,0.03,0.61,0.72,0.03
PF00110,0.56,2.54,0.02,0.56,2.54,0.03
PF00111,0.47,0.94,0.10,0.48,0.99,0.07
PF00112,0.50,1.9,0.05,0.50,1.89,0.05
PF00113,0.74,2.8,0.02,0.74,2.79,0.02
PF00115,1.00,,0.00,1.00,,0.00
PF00116,1.00,,0.00,1.00,,0.00
PF00117,0.48,0.98,0.07,0.48,0.93,0.05
PF00118,0.38,1.02,0.14,0.36,0.93,0.15
PF00119,1.00,,0.00,1.00,,0.00
