Pfam_code,HMMER_gaps,FULL_gaps,HMMER_vs_FULL_gaps_diff,HMMER_vs_FULL_gaps_%_improvement
PF00001,0.62,0.69,0.07,10.14
PF00002,0.43,0.53,0.10,18.87
PF00003,0.20,0.28,0.08,28.57
PF00004,0.45,0.52,0.07,13.46
PF00005,0.39,0.39,0.00,0.00
PF00006,0.08,0.08,0.00,0.00
PF00007,0.26,0.27,0.01,3.70
PF00008,0.58,0.63,0.05,7.94
PF00009,0.54,0.61,0.07,11.48
PF00010,0.31,0.29,-0.02,-6.90
PF00011,0.28,0.23,-0.05,-21.74
PF00012,0.37,0.42,0.05,11.90
PF00013,0.29,0.44,0.15,34.09
PF00014,0.16,0.21,0.05,23.81
PF00017,0.47,0.54,0.07,12.96
PF00018,0.45,0.46,0.01,2.17
PF00019,0.20,0.22,0.02,9.09
PF00020,0.26,0.43,0.17,39.53
PF00021,0.34,0.36,0.02,5.56
PF00022,0.46,0.56,0.10,17.86
PF00023,0.33,0.60,0.27,45.00
PF00024,0.24,0.26,0.02,7.69
PF00025,0.28,0.28,0.00,0.00
PF00026,0.15,0.15,0.00,0.00
PF00027,0.34,0.33,-0.01,-3.03
PF00028,0.55,0.59,0.04,6.78
PF00029,0.31,0.37,0.06,16.22
PF00030,0.25,0.46,0.21,45.65
PF00031,0.24,0.32,0.08,25.00
PF00032,0.00,0.00,0.00,
PF00033,0.00,0.00,0.00,
PF00034,0.00,0.00,0.00,
PF00035,0.34,0.33,-0.01,-3.03
PF00036,0.19,0.18,-0.01,-5.56
PF00037,0.00,0.00,0.00,
PF00038,0.23,0.24,0.01,4.17
PF00039,0.08,0.18,0.10,55.56
PF00040,0.02,0.02,0.00,0.00
PF00041,0.61,0.57,-0.04,-7.02
PF00042,0.09,0.08,-0.01,-12.50
PF00043,0.26,0.42,0.16,38.10
PF00044,0.03,0.02,-0.01,-50.00
PF00045,0.32,0.44,0.12,27.27
PF00046,0.34,0.36,0.02,5.56
PF00047,0.39,0.38,-0.01,-2.63
PF00048,0.25,0.27,0.02,7.41
PF00049,0.47,0.62,0.15,24.19
PF00050,0.35,0.42,0.07,16.67
PF00051,0.22,0.51,0.29,56.86
PF00052,0.18,0.18,0.00,0.00
PF00053,0.57,0.58,0.01,1.72
PF00054,0.25,0.26,0.01,3.85
PF00055,0.25,0.30,0.05,16.67
PF00056,0.09,0.10,0.01,10.00
PF00057,0.40,0.47,0.07,14.89
PF00058,0.34,0.41,0.07,17.07
PF00059,0.48,0.50,0.02,4.00
PF00060,0.09,0.10,0.01,10.00
PF00061,0.29,0.31,0.02,6.45
PF00062,0.09,0.08,-0.01,-12.50
PF00063,0.31,0.37,0.06,16.22
PF00066,0.14,0.19,0.05,26.32
PF00067,0.31,0.30,-0.01,-3.33
PF00068,0.15,0.14,-0.01,-7.14
PF00069,0.65,0.67,0.02,2.99
PF00071,0.49,0.53,0.04,7.55
PF00074,0.21,0.27,0.06,22.22
PF00075,0.16,0.15,-0.01,-6.67
PF00076,0.53,0.55,0.02,3.64
PF00077,0.00,0.00,0.00,
PF00078,0.33,0.34,0.01,2.94
PF00079,0.24,0.27,0.03,11.11
PF00080,0.06,0.06,0.00,0.00
PF00081,0.00,0.00,0.00,
PF00082,0.49,0.54,0.05,9.26
PF00083,0.49,0.50,0.01,2.00
PF00084,0.59,0.60,0.01,1.67
PF00085,0.36,0.38,0.02,5.26
PF00086,0.42,0.53,0.11,20.75
PF00087,0.05,0.11,0.06,54.55
PF00088,0.22,0.28,0.06,21.43
PF00089,0.43,0.53,0.10,18.87
PF00090,0.50,0.59,0.09,15.25
PF00091,0.15,0.17,0.02,11.76
PF00092,0.43,0.45,0.02,4.44
PF00093,0.36,0.40,0.04,10.00
PF00094,0.28,0.28,0.00,0.00
PF00095,0.33,0.33,0.00,0.00
PF00096,0.35,0.45,0.10,22.22
PF00097,0.31,0.31,0.00,0.00
PF00098,0.17,0.15,-0.02,-13.33
PF00100,0.27,0.37,0.10,27.03
PF00102,0.28,0.32,0.04,12.50
PF00103,0.07,0.07,0.00,0.00
PF00104,0.31,0.37,0.06,16.22
PF00105,0.13,0.11,-0.02,-18.18
PF00106,0.49,0.57,0.08,14.04
PF00107,0.26,0.28,0.02,7.14
PF00108,0.11,0.11,0.00,0.00
PF00109,0.05,0.05,0.00,0.00
PF00110,0.22,0.23,0.01,4.35
PF00111,0.16,0.13,-0.03,-23.08
PF00112,0.27,0.31,0.04,12.90
PF00113,0.08,0.09,0.01,11.11
PF00115,0.00,0.00,0.00,
PF00116,0.00,0.00,0.00,
PF00117,0.19,0.18,-0.01,-5.56
PF00118,0.35,0.39,0.04,10.26
PF00119,0.00,0.00,0.00,
PF00120,0.24,0.23,-0.01,-4.35
PF00121,0.00,0.00,0.00,
PF00122,0.58,0.46,-0.12,-26.09
PF00123,0.07,0.10,0.03,30.00
PF00125,0.13,0.34,0.21,61.76
PF00128,0.65,0.40,-0.25,-62.50
PF00129,0.11,0.14,0.03,21.43
PF00130,0.24,0.29,0.05,17.24
PF00131,0.15,0.14,-0.01,-7.14
PF00133,0.49,0.53,0.04,7.55
PF00134,0.37,0.49,0.12,24.49
PF00135,0.22,0.22,0.00,0.00
PF00136,0.12,0.10,-0.02,-20.00
PF00137,0.04,0.06,0.02,33.33
PF00143,0.10,0.11,0.01,9.09
PF00144,0.18,0.41,0.23,56.10
PF00145,0.45,0.44,-0.01,-2.27
PF00146,0.00,0.00,0.00,
PF00147,0.26,0.28,0.02,7.14
PF00149,0.57,0.60,0.03,5.00
PF00151,0.17,0.18,0.01,5.56
PF00152,0.37,0.30,-0.07,-23.33
PF00153,0.39,0.52,0.13,25.00
PF00155,0.29,0.30,0.01,3.33
PF00156,0.31,0.42,0.11,26.19
PF00157,0.11,0.25,0.14,56.00
PF00159,0.02,0.03,0.01,33.33
PF00160,0.19,0.19,0.00,0.00
PF00162,0.00,0.00,0.00,
PF00163,0.18,0.15,-0.03,-20.00
PF00164,0.15,0.18,0.03,16.67
PF00166,0.00,0.00,0.00,
PF00167,0.22,0.29,0.07,24.14
PF00168,0.68,0.73,0.05,6.85
PF00169,0.58,0.61,0.03,4.92
PF00170,0.15,0.33,0.18,54.55
PF00171,0.19,0.24,0.05,20.83
PF00173,0.31,0.38,0.07,18.42
PF00174,0.00,0.00,0.00,
PF00175,0.20,0.18,-0.02,-11.11
PF00176,0.65,0.67,0.02,2.99
PF00177,0.10,0.09,-0.01,-11.11
PF00178,0.08,0.08,0.00,0.00
PF00179,0.46,0.53,0.07,13.21
PF00180,0.16,0.15,-0.01,-6.67
PF00181,0.12,0.11,-0.01,-9.09
PF00183,0.57,0.60,0.03,5.00
PF00184,0.00,0.00,0.00,
PF00185,0.05,0.06,0.01,16.67
PF00186,0.09,0.11,0.02,18.18
PF00188,0.15,0.19,0.04,21.05
PF00189,0.00,0.00,0.00,
PF00191,0.08,0.12,0.04,33.33
PF00193,0.20,0.22,0.02,9.09
PF00194,0.16,0.27,0.11,40.74
PF00198,0.04,0.04,0.00,0.00
PF00199,0.00,0.00,0.00,
PF00200,0.19,0.18,-0.01,-5.56
PF00201,0.10,0.07,-0.03,-42.86
PF00202,0.17,0.16,-0.01,-6.25
PF00203,0.00,0.00,0.00,
