Pfam_code,REC_blosum,FULL_blosum,REC_vs_FULL_blosum_diff,REC_vs_FULL_blosum_%_improvement
PF00001,0.67,0.68,-0.01,-1.47
PF00002,1.05,1.01,0.04,3.96
PF00003,0.94,0.95,-0.01,-1.05
PF00004,1.37,1.35,0.02,1.48
PF00005,1.19,1.19,0.00,0.00
PF00006,1.43,1.44,-0.01,-0.69
PF00007,1.65,1.55,0.10,6.45
PF00008,2.58,2.53,0.05,1.98
PF00009,1.20,1.12,0.08,7.14
PF00010,1.40,1.36,0.04,2.94
PF00011,1.75,1.58,0.17,10.76
PF00012,2.37,2.30,0.07,3.04
PF00013,1.17,1.10,0.07,6.36
PF00014,2.31,2.28,0.03,1.32
PF00017,1.30,1.26,0.04,3.17
PF00018,1.65,1.62,0.03,1.85
PF00019,2.03,2.03,0.00,0.00
PF00020,1.43,1.48,-0.05,-3.38
PF00021,0.57,0.83,-0.26,-31.33
PF00022,2.28,2.23,0.05,2.24
PF00023,1.61,1.63,-0.02,-1.23
PF00024,0.99,0.95,0.04,4.21
PF00025,1.84,1.77,0.07,3.95
PF00026,2.25,2.24,0.01,0.45
PF00027,1.12,1.04,0.08,7.69
PF00028,1.02,0.98,0.04,4.08
PF00029,2.31,2.29,0.02,0.87
PF00030,1.67,1.66,0.01,0.60
PF00031,1.03,0.98,0.05,5.10
PF00032,,,,
PF00033,,,,
PF00034,,,,
PF00035,1.16,1.06,0.10,9.43
PF00036,2.09,1.88,0.21,11.17
PF00037,,,,
PF00038,1.78,1.77,0.01,0.56
PF00039,2.34,2.34,0.00,0.00
PF00040,2.85,2.94,-0.09,-3.06
PF00041,0.76,0.66,0.10,15.15
PF00042,2.02,1.99,0.03,1.51
PF00043,0.72,0.55,0.17,30.91
PF00044,3.25,3.12,0.13,4.17
PF00045,1.17,1.14,0.03,2.63
PF00046,1.80,1.79,0.01,0.56
PF00047,0.83,0.73,0.10,13.70
PF00048,1.59,1.54,0.05,3.25
PF00049,1.12,1.10,0.02,1.82
PF00050,2.18,1.94,0.24,12.37
PF00051,2.84,3.48,-0.64,-18.39
PF00052,1.14,1.13,0.01,0.88
PF00053,2.10,1.93,0.17,8.81
PF00054,0.89,0.87,0.02,2.30
PF00055,1.57,1.58,-0.01,-0.63
PF00056,2.17,2.16,0.01,0.46
PF00057,2.66,2.55,0.11,4.31
PF00058,1.65,1.63,0.02,1.23
PF00059,1.04,1.01,0.03,2.97
PF00060,1.28,1.26,0.02,1.59
PF00061,0.39,0.36,0.03,8.33
PF00062,2.67,2.65,0.02,0.75
PF00063,1.99,2.00,-0.01,-0.50
PF00066,2.59,2.49,0.10,4.02
PF00067,0.82,0.78,0.04,5.13
PF00068,2.13,2.09,0.04,1.91
PF00069,1.08,1.07,0.01,0.93
PF00071,1.46,1.44,0.02,1.39
PF00074,1.21,1.15,0.06,5.22
PF00075,4.09,4.05,0.04,0.99
PF00076,1.09,1.04,0.05,4.81
PF00077,5.23,5.20,0.03,0.58
PF00078,4.26,4.25,0.01,0.24
PF00079,1.44,1.42,0.02,1.41
PF00080,2.36,2.38,-0.02,-0.84
PF00081,,,,
PF00082,1.68,1.69,-0.01,-0.59
PF00083,0.82,0.69,0.13,18.84
PF00084,1.45,1.40,0.05,3.57
PF00085,1.26,1.16,0.10,8.62
PF00086,2.11,1.86,0.25,13.44
PF00087,1.45,0.97,0.48,49.48
PF00088,2.26,2.26,0.00,0.00
PF00089,1.64,1.63,0.01,0.61
PF00090,2.15,2.06,0.09,4.37
PF00091,3.03,3.01,0.02,0.66
PF00092,0.91,0.88,0.03,3.41
PF00093,2.10,2.07,0.03,1.45
PF00094,0.97,0.95,0.02,2.11
PF00095,2.31,2.24,0.07,3.12
PF00096,2.75,2.78,-0.03,-1.08
PF00097,2.11,2.09,0.02,0.96
PF00098,3.73,3.35,0.38,11.34
PF00100,1.07,0.87,0.20,22.99
PF00102,1.96,1.95,0.01,0.51
PF00103,3.25,3.25,0.00,0.00
PF00104,0.92,0.88,0.04,4.55
PF00105,3.40,3.29,0.11,3.34
PF00106,0.91,0.87,0.04,4.60
PF00107,1.23,1.14,0.09,7.89
PF00108,1.19,1.18,0.01,0.85
PF00109,0.67,0.72,-0.05,-6.94
PF00110,2.52,2.51,0.01,0.40
