Pfam_code,blosum62_global_mean
PF00001,0.66
PF00002,1.05
PF00003,0.88
PF00004,1.42
PF00005,1.19
PF00006,1.43
PF00007,1.65
PF00008,2.56
PF00009,1.2
PF00010,1.4
PF00011,1.75
PF00012,2.32
PF00013,1.17
PF00014,2.31
PF00017,1.29
PF00018,1.64
PF00019,1.99
PF00020,1.43
PF00021,0.58
PF00022,2.28
PF00023,1.39
PF00024,0.99
PF00025,1.87
PF00026,2.25
PF00027,1.12
PF00028,1.02
PF00029,2.31
PF00030,1.67
PF00031,1.03
PF00032,
PF00033,
PF00034,
PF00035,1.08
PF00036,2.28
PF00037,
PF00038,1.78
PF00039,2.34
PF00040,2.85
PF00041,0.76
PF00042,2.02
PF00043,0.9
PF00044,3.25
PF00045,1.17
PF00046,1.8
PF00047,0.76
PF00048,1.59
PF00049,1.12
PF00050,2.18
PF00051,2.84
PF00052,1.14
PF00053,2.1
PF00054,0.9
PF00055,1.57
PF00056,2.17
PF00057,2.66
PF00058,1.65
PF00059,1.04
PF00060,1.28
PF00061,0.39
PF00062,2.67
PF00063,1.99
PF00066,2.59
PF00067,0.82
PF00068,2.13
PF00069,1.08
PF00071,1.46
PF00074,1.21
PF00075,4.09
PF00076,1.09
PF00077,5.23
PF00078,4.26
PF00079,1.44
PF00080,2.36
PF00081,
PF00082,1.68
PF00083,0.82
PF00084,1.45
PF00085,1.23
PF00086,2.11
PF00087,1.26
PF00088,2.26
PF00089,1.64
PF00090,2.15
PF00091,3.03
PF00092,0.9
PF00093,2.1
PF00094,0.97
PF00095,2.31
PF00096,2.75
PF00097,1.96
PF00098,3.73
PF00100,1.07
PF00102,1.96
PF00103,3.25
PF00104,0.92
PF00105,3.4
PF00106,0.92
PF00107,1.14
PF00108,1.19
PF00109,0.67
PF00110,2.52
PF00111,0.97
PF00112,1.87
PF00113,2.79
PF00115,
PF00116,
PF00117,1.02
PF00118,1.02
PF00119,
PF00120,0.21
PF00121,
PF00122,1.52
PF00123,1.92
PF00125,1.72
PF00128,3.17
PF00129,1.69
PF00130,1.86
PF00131,5.29
PF00133,0.56
PF00134,0.83
PF00135,2.02
PF00136,1.35
PF00137,1.81
PF00143,3.26
PF00144,0.57
PF00145,1.03
PF00146,
PF00147,2.32
PF00149,0.58
PF00151,2.09
PF00152,0.9
PF00153,0.83
PF00155,0.31
PF00156,0.97
PF00157,3.28
PF00159,3.14
PF00160,2.7
PF00162,4.64
PF00163,0.89
PF00164,2.01
PF00166,
PF00167,1.94
PF00168,0.79
PF00169,0.56
PF00170,1.6
PF00171,1.45
PF00173,1.31
PF00174,
PF00175,1.08
PF00176,1.57
PF00177,0.85
PF00178,2.8
PF00179,1.66
PF00180,1.33
PF00181,1.05
PF00183,2.84
PF00184,5.08
PF00185,0.87
PF00186,4.93
PF00188,1.69
PF00189,
PF00191,1.53
PF00193,2.1
PF00194,1.85
PF00198,1.46
PF00199,
PF00200,3.08
PF00201,2.65
PF00202,1.39
PF00203,
PF00204,4.37
PF00205,1.17
PF00206,0.24
PF00207,2.08
PF00208,5.2
PF00209,2.4
PF00210,3.36
PF00211,1.84
PF00212,2.72
PF00213,
PF00214,1.98
PF00215,
PF00217,4.1
PF00219,2.67
PF00220,5.22
PF00221,
PF00224,3.87
PF00225,1.77
PF00226,2.4
PF00227,0.79
PF00229,0.79
PF00230,1.36
PF00231,
PF00232,2.2
PF00233,1.83
PF00235,1.61
PF00236,
PF00237,0.5
PF00238,0.51
PF00240,1.38
PF00241,0.78
PF00243,3.26
PF00244,3.8
PF00245,4.02
PF00246,1.35
PF00248,1.66
PF00249,1.39
PF00250,2.98
PF00252,2.15
PF00253,0.84
PF00254,1.91
PF00255,2.39
PF00258,1.61
PF00260,
PF00261,4.07
PF00262,2.6
PF00264,2.05
PF00265,
PF00266,0.4
PF00268,4.65
PF00270,0.85
PF00271,0.85
PF00273,1.04
PF00274,3.88
PF00276,0.97
PF00277,3.63
PF00278,
PF00281,
PF00282,1.75
PF00285,0.63
PF00287,2.09
PF00288,0.89
PF00289,2.22
PF00291,0.73
PF00292,3.91
PF00293,0.65
PF00294,0.25
PF00297,2.29
PF00298,0.97
PF00300,1.29
PF00303,
PF00305,2.41
PF00306,
PF00307,0.73
PF00312,0.44
PF00313,1.55
PF00316,4.06
PF00317,
PF00318,2.12
PF00319,3.71
PF00320,2.82
PF00322,4.89
PF00323,2.85
PF00324,2.16
PF00326,1.03
PF00327,1.29
PF00328,0.62
PF00329,
PF00330,2.05
PF00333,0.63
PF00334,1.62
PF00335,0.91
PF00337,1.55
PF00338,0.71
PF00339,1.03
PF00340,1.31
PF00341,1.76
PF00342,
PF00343,4.45
PF00344,4.84
PF00346,
PF00347,0.22
PF00348,0.5
PF00349,2.97
PF00350,1.09
PF00351,3.55
PF00352,1.86
PF00354,1.27
PF00355,2.35
PF00357,2.75
PF00361,0.58
PF00362,2.74
PF00363,
PF00364,1.1
PF00365,2.45
PF00366,0.68
PF00368,
PF00370,1.49
PF00373,0.83
PF00375,2.69
PF00377,0.89
PF00378,1.15
PF00380,1.35
PF00382,0.59
PF00383,0.68
PF00384,
PF00385,1.8
PF00386,1.41
PF00387,2.42
PF00388,2.75
PF00389,1.38
PF00390,4.07
PF00393,
PF00394,
PF00396,3.32
PF00397,2.48
PF00398,0.61
PF00400,1.1
PF00402,3.38
PF00403,1.96
PF00405,2.44
PF00406,1.3
PF00408,
PF00410,
PF00411,1.18
PF00412,1.45
PF00413,2.57
PF00414,2.61
PF00415,1.59
PF00416,
PF00418,3.08
PF00420,
PF00428,1.45
PF00429,1.53
PF00431,1.37
PF00432,1.38
PF00433,1.25
PF00435,0.48
PF00436,
PF00438,4.64
PF00439,1.47
PF00441,1.22
PF00443,1.27
PF00444,
PF00445,
PF00446,4.5
PF00447,2.3
PF00448,1.42
PF00450,0.99
PF00452,1.25
PF00453,
PF00454,1.04
PF00456,3.95
PF00458,1.98
PF00459,0.86
PF00462,1.36
PF00464,3.76
PF00465,
PF00466,1.32
PF00467,1.5
PF00468,
PF00471,
PF00472,1.52
PF00473,1.73
PF00474,1.64
PF00476,1.62
PF00478,2.27
PF00479,1.38
PF00480,
PF00481,1.09
PF00483,1.18
PF00485,3.37
PF00487,0.74
PF00488,2.02
PF00489,
PF00490,
PF00491,1.91
PF00493,2.49
PF00494,-0.17
PF00498,0.78
PF00499,
PF00501,0.51
PF00503,2.67
PF00505,1.72
PF00507,
PF00510,
PF00514,0.88
PF00515,1.15
PF00517,4.88
PF00520,0.61
PF00521,4.29
PF00525,2.59
PF00530,2.27
PF00531,0.76
PF00533,0.45
PF00534,0.44
PF00535,1.45
PF00536,0.97
PF00538,1.93
PF00542,
PF00549,0.5
PF00550,0.88
PF00551,1.42
PF00552,5.87
PF00554,1.85
PF00557,0.64
PF00560,1.47
PF00561,0.24
PF00562,1.99
PF00564,0.61
PF00565,0.88
PF00566,1.02
PF00567,0.62
PF00568,1.53
PF00569,2.21
PF00570,0.14
PF00571,0.98
PF00572,0.8
PF00573,0.06
PF00574,
PF00575,0.74
PF00576,
PF00578,2.73
PF00579,0.09
PF00580,0.95
PF00581,0.46
PF00583,0.5
PF00584,
PF00586,2.16
PF00587,0.97
PF00588,0.68
PF00590,
PF00591,
PF00594,3.18
PF00595,1.11
PF00596,1.89
PF00605,2.6
PF00607,5.09
PF00609,2.27
PF00610,1.26
PF00611,1.08
PF00612,1.69
PF00613,1.49
PF00614,4.69
PF00615,1.12
PF00616,1.4
PF00617,1.33
PF00618,0.93
PF00619,0.69
PF00620,1.31
PF00621,0.89
PF00622,0.78
PF00623,2.31
PF00625,1.43
PF00626,0.7
PF00627,1.19
PF00628,2.1
PF00629,1.06
PF00630,1.51
PF00631,1.78
PF00632,1.47
PF00633,1.87
PF00634,1.48
PF00635,1.36
PF00636,1.43
PF00637,0.36
PF00638,2.98
PF00639,
PF00640,0.81
PF00641,2.34
PF00642,2.34
PF00643,1.99
PF00644,1.15
PF00645,1.6
PF00646,1.0
PF00647,
PF00648,2.17
PF00650,1.32
PF00651,1.17
PF00652,0.98
PF00653,2.54
PF00654,1.89
PF00656,1.3
PF00657,0.67
PF00658,3.65
PF00659,1.02
PF00662,
PF00664,0.24
PF00665,4.58
PF00666,0.72
PF00667,1.52
PF00670,3.45
PF00673,
PF00675,0.96
PF00676,1.17
PF00679,1.17
PF00681,1.94
PF00682,2.81
PF00683,2.59
PF00684,3.0
PF00685,0.85
PF00686,1.21
PF00687,0.43
PF00688,0.84
PF00689,1.29
PF00690,1.16
PF00692,1.08
PF00694,1.85
PF00696,-0.13
PF00698,0.63
PF00701,0.81
PF00702,0.41
PF00703,
PF00704,1.83
PF00705,
PF00708,3.36
PF00709,4.34
PF00710,
PF00711,2.09
PF00714,
PF00715,
PF00717,4.23
PF00719,4.32
PF00723,2.14
PF00725,0.9
PF00726,1.28
PF00727,
PF00728,2.27
PF00730,0.42
PF00731,
PF00732,
PF00733,0.66
PF00735,2.83
PF00736,4.63
PF00743,3.03
PF00748,1.4
PF00749,0.8
PF00750,1.52
PF00751,4.26
PF00752,0.86
PF00753,0.41
PF00754,1.43
PF00755,1.55
PF00756,
PF00757,2.51
PF00758,0.76
PF00762,
PF00763,1.93
PF00764,
PF00766,
PF00769,2.73
PF00773,1.5
PF00777,0.98
PF00778,2.83
PF00779,2.66
PF00780,0.79
PF00781,1.75
PF00782,1.42
PF00784,1.37
PF00786,1.57
PF00787,0.96
PF00788,0.45
PF00789,0.81
PF00790,1.82
PF00791,1.12
PF00792,1.2
PF00794,0.9
PF00795,0.75
PF00797,4.37
PF00801,0.75
PF00804,2.13
PF00805,0.82
PF00806,1.51
PF00808,1.11
PF00809,
PF00810,4.22
PF00811,
PF00812,2.22
PF00814,0.98
PF00817,1.6
PF00821,4.17
PF00822,1.03
PF00827,
PF00828,0.45
PF00829,
PF00830,
PF00831,
PF00832,5.08
PF00833,
PF00834,5.06
PF00835,2.65
