Pfam_code,REC_gaps,FULL_gaps,REC_vs_FULL_gaps_diff,REC_vs_FULL_gaps_%_improvement
PF00001,0.07,0.08,0.01,12.50
PF00002,0.07,0.06,-0.01,-16.67
PF00003,0.04,0.04,0.00,0.00
PF00004,0.09,0.08,-0.01,-12.50
PF00005,0.06,0.06,0.00,0.00
PF00006,0.00,0.01,0.01,100.00
PF00007,0.12,0.10,-0.02,-20.00
PF00008,0.07,0.06,-0.01,-16.67
PF00009,0.08,0.10,0.02,20.00
PF00010,0.05,0.06,0.01,16.67
PF00011,0.20,0.17,-0.03,-17.65
PF00012,0.20,0.23,0.03,13.04
PF00013,0.09,0.07,-0.02,-28.57
PF00014,0.04,0.03,-0.01,-33.33
PF00017,0.05,0.04,-0.01,-25.00
PF00018,0.07,0.06,-0.01,-16.67
PF00019,0.06,0.04,-0.02,-50.00
PF00020,0.02,0.03,0.01,33.33
PF00021,0.14,0.08,-0.06,-75.00
PF00022,0.21,0.11,-0.10,-90.91
PF00023,0.13,0.11,-0.02,-18.18
PF00024,0.06,0.08,0.02,25.00
PF00025,0.07,0.05,-0.02,-40.00
PF00026,0.02,0.02,0.00,0.00
PF00027,0.09,0.07,-0.02,-28.57
PF00028,0.08,0.06,-0.02,-33.33
PF00029,0.09,0.14,0.05,35.71
PF00030,0.04,0.03,-0.01,-33.33
PF00031,0.09,0.07,-0.02,-28.57
PF00032,0.00,0.00,0.00,
PF00033,0.00,0.00,0.00,
PF00034,0.00,0.00,0.00,
PF00035,0.10,0.09,-0.01,-11.11
PF00036,0.14,0.11,-0.03,-27.27
PF00037,0.00,0.00,0.00,
PF00038,0.05,0.05,0.00,0.00
PF00039,0.06,0.06,0.00,0.00
PF00040,0.02,0.02,0.00,0.00
PF00041,0.13,0.08,-0.05,-62.50
PF00042,0.06,0.05,-0.01,-20.00
PF00043,0.17,0.16,-0.01,-6.25
PF00044,0.02,0.02,0.00,0.00
PF00045,0.09,0.07,-0.02,-28.57
PF00046,0.03,0.03,0.00,0.00
PF00047,0.12,0.10,-0.02,-20.00
PF00048,0.06,0.05,-0.01,-20.00
PF00049,0.19,0.23,0.04,17.39
PF00050,0.16,0.14,-0.02,-14.29
PF00051,0.04,0.03,-0.01,-33.33
PF00052,0.04,0.03,-0.01,-33.33
PF00053,0.14,0.12,-0.02,-16.67
PF00054,0.04,0.03,-0.01,-33.33
PF00055,0.05,0.05,0.00,0.00
PF00056,0.02,0.02,0.00,0.00
PF00057,0.05,0.04,-0.01,-25.00
PF00058,0.04,0.04,0.00,0.00
PF00059,0.08,0.09,0.01,11.11
PF00060,0.02,0.02,0.00,0.00
PF00061,0.14,0.13,-0.01,-7.69
PF00062,0.03,0.02,-0.01,-50.00
PF00063,0.10,0.11,0.01,9.09
PF00066,0.08,0.06,-0.02,-33.33
PF00067,0.11,0.10,-0.01,-10.00
PF00068,0.04,0.04,0.00,0.00
PF00069,0.10,0.09,-0.01,-11.11
PF00071,0.02,0.02,0.00,0.00
PF00074,0.11,0.09,-0.02,-22.22
PF00075,0.12,0.11,-0.01,-9.09
PF00076,0.10,0.08,-0.02,-25.00
PF00077,0.00,0.00,0.00,
PF00078,0.17,0.24,0.07,29.17
PF00079,0.08,0.07,-0.01,-14.29
PF00080,0.04,0.04,0.00,0.00
