Pfam_code,mean_%conservation,blosum62_global_mean,perc_gaps
PF00001,0.24,0.83,0.38
PF00002,0.36,1.26,0.26
PF00004,0.37,1.16,0.26
PF00007,0.6,1.7,0.07
PF00008,0.41,1.47,0.17
PF00009,0.48,0.82,0.19
PF00010,0.41,1.17,0.1
PF00012,0.65,1.23,0.02
PF00013,0.38,1.06,0.15
PF00014,0.5,2.42,0.09
PF00017,0.39,1.47,0.18
PF00018,0.44,1.68,0.06
PF00020,0.65,1.97,0.09
PF00021,0.39,0.6,0.2
PF00023,0.23,1.2,0.49
PF00024,0.39,1.08,0.19
PF00025,0.62,2.16,0.03
PF00026,0.68,1.96,0.02
PF00027,0.55,0.97,0.03
PF00028,0.36,0.4,0.12
PF00030,0.44,1.41,0.12
PF00031,0.44,0.73,0.06
PF00035,0.44,0.56,0.04
PF00038,0.56,1.99,0.03
PF00041,0.25,0.39,0.24
PF00043,0.44,0.44,0.05
PF00044,0.77,3.1,0.0
PF00045,0.32,0.94,0.2
PF00046,0.53,1.7,0.0
PF00047,0.29,0.14,0.15
PF00049,,,0.0
PF00050,,,0.0
PF00051,0.55,2.61,0.07
PF00052,0.6,0.98,0.04
PF00053,0.35,2.07,0.26
PF00054,0.35,0.71,0.16
PF00057,0.53,2.53,0.08
PF00058,0.58,0.54,0.11
PF00059,0.34,1.18,0.21
PF00060,0.49,1.1,0.06
PF00061,0.3,0.14,0.12
PF00062,,,0.0
PF00063,,,0.0
PF00067,0.37,0.48,0.11
PF00068,0.65,2.67,0.06
PF00069,0.38,0.96,0.25
PF00071,0.59,2.02,0.01
PF00074,,,0.0
PF00075,,,0.0
PF00076,0.4,0.93,0.08
PF00077,,,0.0
PF00078,,,0.0
PF00079,0.48,1.66,0.11
PF00081,,,0.0
PF00082,,,0.0
PF00083,,,0.0
PF00084,0.47,0.72,0.1
PF00086,0.61,1.37,0.07
PF00088,,,0.0
PF00089,0.38,1.48,0.24
PF00090,0.47,2.05,0.15
PF00091,0.66,1.67,0.06
PF00092,0.26,0.91,0.34
PF00093,0.4,1.89,0.23
PF00094,0.41,0.76,0.08
PF00095,0.53,2.27,0.16
PF00096,0.4,1.85,0.08
PF00097,0.65,1.66,0.07
PF00098,0.56,2.09,0.0
PF00102,0.46,1.95,0.13
PF00103,0.86,3.72,0.02
PF00105,0.64,3.11,0.01
PF00106,0.49,1.01,0.09
PF00108,,,0.0
PF00109,,,0.0
PF00112,0.51,2.04,0.14
PF00117,0.56,1.27,0.08
PF00118,,,0.0
PF00120,,,0.0
PF00125,0.57,0.17,0.04
PF00129,0.73,2.86,0.01
PF00130,0.43,1.76,0.15
PF00133,,,0.0
PF00134,0.66,1.91,0.01
PF00135,0.47,1.46,0.15
PF00136,,,0.0
PF00143,0.69,1.64,0.0
PF00146,,,0.0
PF00147,0.77,3.02,0.0
PF00149,0.24,-0.04,0.41
PF00151,,,0.0
PF00152,,,0.0
PF00153,0.37,0.75,0.11
PF00155,,,0.0
PF00167,0.68,1.94,0.02
PF00168,0.21,0.61,0.41
PF00169,0.21,0.33,0.39
PF00170,0.56,1.4,0.03
PF00171,,,0.0
PF00173,0.63,1.15,0.04
PF00175,,,0.0
PF00176,0.54,1.29,0.11
PF00179,0.57,1.35,0.03
PF00188,,,0.0
PF00191,0.48,1.36,0.01
PF00194,0.56,1.56,0.09
PF00201,0.7,2.96,0.01
PF00202,,,0.0
