Pfam_code,mean_%conservation,blosum62_global_mean,perc_gaps
PF00001,0.24,0.83,0.37
PF00002,0.36,1.28,0.26
PF00004,0.37,1.2,0.27
PF00007,0.59,1.78,0.1
PF00008,0.44,1.71,0.22
PF00009,0.47,0.89,0.22
PF00010,0.41,1.43,0.15
PF00012,0.65,1.24,0.03
PF00013,0.31,1.05,0.24
PF00014,0.5,2.49,0.11
PF00017,0.37,1.43,0.2
PF00018,0.42,1.68,0.1
PF00020,0.53,1.32,0.09
PF00021,0.32,0.32,0.25
PF00023,0.36,1.7,0.31
PF00024,0.38,1.17,0.22
PF00025,0.61,2.2,0.05
PF00026,0.67,1.96,0.02
PF00027,0.48,1.05,0.12
PF00028,0.3,0.59,0.24
PF00030,0.36,1.36,0.22
PF00031,0.44,0.82,0.08
PF00035,0.42,0.64,0.08
PF00038,0.57,1.99,0.03
PF00041,0.2,0.59,0.41
PF00043,0.42,0.44,0.12
PF00044,0.77,3.25,0.03
PF00045,0.3,1.06,0.28
PF00046,0.51,1.68,0.03
PF00047,0.29,0.36,0.22
PF00049,,,0.0
PF00050,,,0.0
PF00051,0.65,3.33,0.07
PF00052,0.59,0.87,0.07
PF00053,0.29,1.97,0.38
PF00054,0.33,0.82,0.21
PF00057,0.49,2.6,0.16
PF00058,0.34,1.37,0.26
PF00059,0.33,1.24,0.23
PF00060,0.45,0.72,0.07
PF00061,0.29,0.2,0.18
PF00062,,,0.0
PF00063,,,0.0
PF00067,0.37,0.52,0.14
PF00068,0.64,2.7,0.08
PF00069,0.39,0.99,0.24
PF00071,0.59,2.03,0.01
PF00074,,,0.0
PF00075,,,0.0
PF00076,0.3,1.04,0.3
PF00077,,,0.0
PF00078,,,0.0
PF00079,0.51,1.62,0.06
PF00081,,,0.0
PF00082,,,0.0
PF00083,,,0.0
PF00084,0.28,1.46,0.38
PF00086,0.3,2.2,0.45
PF00088,0.62,1.97,0.09
PF00089,0.38,1.52,0.24
PF00090,0.37,2.18,0.33
PF00091,0.67,1.75,0.06
PF00092,0.24,0.99,0.4
PF00093,0.43,1.98,0.2
PF00094,0.36,0.94,0.14
PF00095,0.55,2.48,0.15
PF00096,0.49,2.53,0.11
PF00097,0.65,1.66,0.07
PF00098,0.67,3.46,0.06
PF00102,0.46,2.01,0.14
PF00103,0.88,3.95,0.0
