Pfam_code,alignment_type,score_original
PF00001,FULL,0.7
PF00002,HMMER,1.05
PF00003,FULL,1.01
PF00004,HMMER,1.42
PF00005,HMMER,1.19
PF00006,FULL,1.89
PF00007,HMMER,1.65
PF00008,HMMER,2.56
PF00009,HMMER,1.2
PF00010,HMMER,1.4
PF00011,HMMER,1.75
PF00012,HMMER,2.32
PF00013,SEED,1.07
PF00014,HMMER,2.31
PF00017,SEED,1.47
PF00018,HMMER,1.64
PF00019,HMMER,1.99
PF00020,SEED,1.68
PF00021,SEED,0.79
PF00022,HMMER,2.28
PF00023,FULL,1.49
PF00024,HMMER,0.99
PF00025,HMMER,1.87
PF00026,HMMER,2.25
PF00027,HMMER,1.12
PF00028,HMMER,1.02
PF00029,HMMER,2.31
PF00030,SEED,1.45
PF00031,HMMER,1.03
PF00035,HMMER,1.08
PF00036,HMMER,2.28
PF00038,HMMER,1.78
PF00039,HMMER,2.34
PF00040,FULL,2.92
PF00041,HMMER,0.76
PF00042,HMMER,2.02
PF00043,HMMER,0.9
PF00044,HMMER,3.25
PF00045,HMMER,1.17
PF00046,SEED,1.66
PF00047,HMMER,0.76
PF00048,HMMER,1.59
PF00049,HMMER,1.12
PF00050,HMMER,2.18
PF00051,FULL,3.04
PF00052,SEED,0.98
PF00053,SEED,2.07
PF00054,HMMER,0.9
PF00055,FULL,2.38
PF00056,HMMER,2.17
PF00057,HMMER,2.66
PF00058,HMMER,1.65
PF00059,HMMER,1.04
PF00060,SEED,1.1
PF00061,HMMER,0.39
PF00062,HMMER,2.67
PF00063,FULL,1.99
PF00066,HMMER,2.59
PF00067,HMMER,0.82
PF00068,HMMER,2.13
PF00069,HMMER,1.08
PF00071,HMMER,1.46
PF00074,HMMER,1.21
PF00075,HMMER,4.09
PF00076,HMMER,1.09
PF00077,HMMER,5.23
PF00078,HMMER,4.26
PF00079,SEED,1.66
PF00080,FULL,3.2
PF00082,FULL,2.15
PF00083,HMMER,0.82
PF00084,HMMER,1.45
PF00085,HMMER,1.23
PF00086,HMMER,2.11
PF00087,HMMER,1.26
PF00088,HMMER,2.26
PF00089,HMMER,1.64
PF00090,HMMER,2.15
PF00091,HMMER,3.03
PF00092,HMMER,0.9
PF00093,HMMER,2.1
PF00094,HMMER,0.97
PF00095,HMMER,2.31
PF00096,FULL,2.75
PF00097,HMMER,1.96
PF00098,HMMER,3.73
PF00100,HMMER,1.07
PF00102,HMMER,1.96
PF00103,HMMER,3.25
PF00104,HMMER,0.92
PF00105,HMMER,3.4
PF00106,SEED,1.01
PF00107,HMMER,1.14
PF00108,HMMER,1.19
PF00109,FULL,2.15
PF00110,HMMER,2.52
PF00111,FULL,1.4
PF00112,HMMER,1.87
PF00113,HMMER,2.79
PF00117,HMMER,1.02
PF00118,HMMER,1.02
PF00120,FULL,2.32
PF00122,HMMER,1.52
PF00123,HMMER,1.92
PF00125,HMMER,1.72
PF00128,FULL,2.67
PF00129,HMMER,1.69
PF00130,HMMER,1.86
PF00131,HMMER,5.29
PF00133,FULL,2.05
PF00134,HMMER,0.83
PF00135,SEED,1.46
PF00136,HMMER,1.35
