Pfam_code,REC_blosum,FULL_blosum,REC_vs_FULL_blosum_diff,REC_vs_FULL_blosum_%_improvement
PF00001,0.69,0.70,-0.01,-1.43
PF00002,1.06,1.04,0.02,1.92
PF00003,0.95,1.01,-0.06,-5.94
PF00004,1.40,1.37,0.03,2.19
PF00005,1.29,1.28,0.01,0.78
PF00006,1.45,1.45,0.00,0.00
PF00007,1.68,1.60,0.08,5.00
PF00008,2.59,2.57,0.02,0.78
PF00009,1.23,1.21,0.02,1.65
PF00010,1.41,1.38,0.03,2.17
PF00011,1.83,1.72,0.11,6.40
PF00012,2.39,2.33,0.06,2.58
PF00013,1.20,1.15,0.05,4.35
PF00014,2.31,2.30,0.01,0.43
PF00017,1.31,1.27,0.04,3.15
PF00018,1.66,1.64,0.02,1.22
PF00019,2.03,2.04,-0.01,-0.49
PF00020,1.45,1.50,-0.05,-3.33
PF00021,0.61,0.87,-0.26,-29.89
PF00022,2.31,2.27,0.04,1.76
PF00023,1.61,1.73,-0.12,-6.94
PF00024,1.03,1.00,0.03,3.00
PF00025,1.88,1.83,0.05,2.73
PF00026,2.27,2.26,0.01,0.44
PF00027,1.14,1.10,0.04,3.64
PF00028,1.03,1.01,0.02,1.98
PF00029,2.34,2.32,0.02,0.86
PF00030,1.68,1.67,0.01,0.60
PF00031,1.05,1.02,0.03,2.94
PF00032,,,,
PF00033,,,,
PF00034,,,,
PF00035,1.17,1.07,0.10,9.35
PF00036,2.11,1.98,0.13,6.57
PF00037,,,,
PF00038,1.78,1.78,0.00,0.00
PF00039,2.35,2.35,0.00,0.00
PF00040,2.85,2.94,-0.09,-3.06
PF00041,0.91,0.70,0.21,30.00
PF00042,2.04,2.01,0.03,1.49
PF00043,0.74,0.70,0.04,5.71
PF00044,3.21,3.12,0.09,2.88
PF00045,1.19,1.18,0.01,0.85
PF00046,1.80,1.79,0.01,0.56
PF00047,0.86,0.78,0.08,10.26
PF00048,1.59,1.57,0.02,1.27
PF00049,1.40,1.39,0.01,0.72
PF00050,2.26,2.11,0.15,7.11
PF00051,2.84,3.48,-0.64,-18.39
PF00052,1.15,1.13,0.02,1.77
PF00053,2.14,2.04,0.10,4.90
PF00054,0.91,0.89,0.02,2.25
PF00055,1.57,1.58,-0.01,-0.63
PF00056,2.17,2.17,0.00,0.00
PF00057,2.68,2.64,0.04,1.52
PF00058,1.66,1.64,0.02,1.22
PF00059,1.08,1.05,0.03,2.86
PF00060,2.05,2.02,0.03,1.49
PF00061,0.40,0.37,0.03,8.11
PF00062,2.70,2.69,0.01,0.37
PF00063,2.00,2.01,-0.01,-0.50
PF00066,2.61,2.54,0.07,2.76
PF00067,0.83,0.79,0.04,5.06
PF00068,2.14,2.10,0.04,1.90
PF00069,1.11,1.09,0.02,1.83
PF00071,1.48,1.47,0.01,0.68
PF00074,1.22,1.19,0.03,2.52
PF00075,4.03,4.02,0.01,0.25
PF00076,1.11,1.07,0.04,3.74
PF00077,5.23,5.21,0.02,0.38
PF00078,4.26,4.25,0.01,0.24
PF00079,1.45,1.43,0.02,1.40
PF00080,2.32,2.36,-0.04,-1.69
PF00081,,,,
PF00082,1.68,1.69,-0.01,-0.59
PF00083,0.84,0.78,0.06,7.69
PF00084,1.47,1.41,0.06,4.26
PF00085,1.31,1.26,0.05,3.97
PF00086,2.15,1.99,0.16,8.04
PF00087,1.50,0.97,0.53,54.64
PF00088,2.24,2.25,-0.01,-0.44
PF00089,1.67,1.66,0.01,0.60
PF00090,2.15,2.08,0.07,3.37
PF00091,3.16,3.14,0.02,0.64
PF00092,0.93,0.91,0.02,2.20
PF00093,2.12,2.10,0.02,0.95
PF00094,0.97,0.96,0.01,1.04
PF00095,2.40,2.32,0.08,3.45
PF00096,2.75,2.78,-0.03,-1.08
PF00097,2.15,2.12,0.03,1.42
PF00098,3.75,3.51,0.24,6.84
PF00100,1.09,0.89,0.20,22.47
PF00102,1.97,1.97,0.00,0.00
PF00103,3.21,3.21,0.00,0.00
PF00104,0.94,0.94,0.00,0.00
PF00105,3.41,3.35,0.06,1.79
PF00106,0.93,0.92,0.01,1.09
PF00107,1.27,1.22,0.05,4.10
PF00108,1.20,1.18,0.02,1.69
PF00109,0.67,0.72,-0.05,-6.94
PF00110,2.54,2.54,0.00,0.00
PF00111,0.94,0.99,-0.05,-5.05
PF00112,1.90,1.89,0.01,0.53
PF00113,2.80,2.79,0.01,0.36
PF00115,,,,
PF00116,,,,
PF00117,0.98,0.93,0.05,5.38
PF00118,1.02,0.93,0.09,9.68
PF00119,,,,
PF00120,0.22,0.32,-0.10,-31.25
PF00121,,,,
PF00122,1.66,1.09,0.57,52.29
PF00123,1.92,1.77,0.15,8.47
PF00125,1.76,1.71,0.05,2.92
PF00128,3.03,2.91,0.12,4.12
PF00129,1.70,1.65,0.05,3.03
PF00130,1.90,1.83,0.07,3.83
PF00131,5.29,5.27,0.02,0.38
PF00133,1.01,0.91,0.10,10.99
PF00134,0.89,0.84,0.05,5.95
PF00135,2.04,2.03,0.01,0.49
PF00136,1.36,1.33,0.03,2.26
PF00137,1.79,1.79,0.00,0.00
PF00143,3.21,3.20,0.01,0.31
PF00144,0.61,0.62,-0.01,-1.61
PF00145,1.10,1.02,0.08,7.84
PF00146,,,,
PF00147,2.33,2.32,0.01,0.43
PF00149,0.62,0.61,0.01,1.64
PF00151,2.12,2.08,0.04,1.92
PF00152,0.97,0.93,0.04,4.30
PF00153,0.86,0.83,0.03,3.61
PF00155,0.33,0.33,0.00,0.00
PF00156,0.98,0.90,0.08,8.89
PF00157,3.31,3.27,0.04,1.22
PF00159,3.14,3.04,0.10,3.29
PF00160,2.72,2.67,0.05,1.87
PF00162,4.70,4.63,0.07,1.51
PF00163,0.82,0.53,0.29,54.72
PF00164,2.09,1.95,0.14,7.18
PF00166,,,,
PF00167,1.95,1.94,0.01,0.52
PF00168,0.85,0.80,0.05,6.25
PF00169,0.62,0.59,0.03,5.08
PF00170,1.62,1.58,0.04,2.53
PF00171,1.46,1.44,0.02,1.39
PF00173,1.33,1.28,0.05,3.91
PF00174,,,,
PF00175,1.10,1.08,0.02,1.85
PF00176,1.61,1.62,-0.01,-0.62
PF00177,0.88,0.80,0.08,10.00
PF00178,2.80,2.81,-0.01,-0.36
PF00179,1.69,1.62,0.07,4.32
PF00180,1.31,1.36,-0.05,-3.68
PF00181,1.09,0.87,0.22,25.29
PF00183,2.86,2.87,-0.01,-0.35
PF00184,5.08,5.08,0.00,0.00
PF00185,0.87,0.87,0.00,0.00
PF00186,4.93,4.92,0.01,0.20
PF00188,1.76,1.71,0.05,2.92
PF00189,,,,
PF00191,1.53,1.51,0.02,1.32
PF00193,2.11,2.11,0.00,0.00
PF00194,1.86,1.87,-0.01,-0.53
PF00198,1.48,1.48,0.00,0.00
PF00199,,,,
PF00200,3.08,3.09,-0.01,-0.32
PF00201,2.66,2.66,0.00,0.00
PF00202,1.39,1.39,0.00,0.00
PF00203,,,,
PF00204,4.37,4.44,-0.07,-1.58
PF00205,1.17,1.11,0.06,5.41
PF00206,0.23,0.22,0.01,4.55
PF00207,2.08,2.07,0.01,0.48
PF00208,5.20,5.21,-0.01,-0.19
PF00209,2.43,2.42,0.01,0.41
PF00210,3.36,3.34,0.02,0.60
PF00211,1.86,1.83,0.03,1.64
PF00212,2.72,2.71,0.01,0.37
PF00213,,,,
PF00214,1.99,2.00,-0.01,-0.50
PF00215,,,,
PF00217,4.15,4.14,0.01,0.24
PF00219,2.69,2.76,-0.07,-2.54
PF00220,5.22,5.22,0.00,0.00
PF00221,,,,
PF00224,3.87,3.88,-0.01,-0.26
PF00225,1.79,1.78,0.01,0.56
PF00226,2.40,2.37,0.03,1.27
PF00227,0.79,0.78,0.01,1.28
PF00229,0.80,0.77,0.03,3.90
PF00230,1.36,1.33,0.03,2.26
PF00231,,,,
PF00232,2.23,2.22,0.01,0.45
PF00233,1.84,1.83,0.01,0.55
PF00235,1.61,1.63,-0.02,-1.23
PF00236,,,,
PF00237,0.45,0.44,0.01,2.27
PF00238,0.51,0.51,0.00,0.00
PF00240,1.43,1.38,0.05,3.62
PF00241,0.80,0.80,0.00,0.00
PF00243,3.27,3.31,-0.04,-1.21
